participant_id,task,subphase,n,start,end,rep
P03,BERDIRI RILEKS,,26,13.184,21.218,
P03,NGEED,TURUN,14,21.218,24.217,2.0
P03,NGEED,TAHAN,7,24.217,26.182,2.0
P03,NGEED,NAIK,22,26.182,29.216,2.0
P03,BERDIRI RILEKS,,20,29.216,37.215,
P03,AGEM KANAN,TURUN,13,37.215,40.215,1.0
P03,AGEM KANAN,TAHAN,8,40.215,42.214,1.0
P03,AGEM KANAN,NAIK,21,42.214,45.214,1.0
P03,BERDIRI RILEKS,,26,45.214,53.22,
P03,AGEM KANAN,TURUN,15,53.22,56.247,2.0
P03,AGEM KANAN,TAHAN,7,56.247,58.212,2.0
P03,AGEM KANAN,NAIK,22,58.212,61.246,2.0
P03,BERDIRI RILEKS,,20,61.246,69.252,
P03,AGEM KIRI,TURUN,12,69.252,72.28,1.0
P03,AGEM KIRI,TAHAN,10,72.28,74.245,1.0
P03,AGEM KIRI,NAIK,21,74.245,77.251,1.0
P03,BERDIRI RILEKS,,18,77.251,85.284,
P03,AGEM KIRI,TURUN,13,85.284,88.284,2.0
P03,AGEM KIRI,TAHAN,8,88.284,90.284,2.0
P03,AGEM KIRI,NAIK,19,90.284,93.283,2.0
P03,ISTIRAHAT UTAMA,,363,93.283,273.263,
P03,BERSIAP,,9,276.096,278.311,
P03,NGEED,TURUN,14,278.311,281.31,3.0
P03,NGEED,TAHAN,14,281.31,284.316,3.0
P03,NGEED,NAIK,11,284.316,286.282,3.0
P03,BERDIRI RILEKS,,20,286.282,294.28,
P03,NGEED,TURUN,15,294.28,297.314,4.0
P03,NGEED,TAHAN,8,297.314,299.314,4.0
P03,NGEED,NAIK,19,299.314,302.342,4.0
P03,BERDIRI RILEKS,,20,302.342,310.348,
P03,AGEM KANAN,TURUN,14,310.348,313.347,3.0
P03,AGEM KANAN,TAHAN,14,313.347,316.346,3.0
P03,AGEM KANAN,NAIK,12,316.346,318.346,3.0
P03,BERDIRI RILEKS,,21,318.346,326.38,
P03,AGEM KANAN,TURUN,13,326.38,329.345,4.0
P03,AGEM KANAN,TAHAN,9,329.345,331.379,4.0
P03,AGEM KANAN,NAIK,19,331.379,334.344,4.0
P03,BERDIRI RILEKS,,20,334.344,342.377,
P03,AGEM KIRI,TURUN,14,342.377,345.376,3.0
P03,AGEM KIRI,TAHAN,8,345.376,347.376,3.0
P03,AGEM KIRI,NAIK,18,347.376,350.376,3.0
P03,BERDIRI RILEKS,,21,350.376,358.417,
P03,AGEM KIRI,TURUN,13,358.417,361.416,4.0
P03,AGEM KIRI,TAHAN,14,361.416,364.416,4.0
P03,AGEM KIRI,NAIK,13,364.416,366.475,4.0
P03,BERDIRI FOKUS MATA TERBUKA,,62,366.475,396.55,
P03,BERDIRI ISTIRAHAT,,35,396.55,411.617,
P03,BERDIRI MATA TERTUTUP,,62,411.617,441.501,
P04,BERSIAP,,14,1.07,5.118,
P04,NGEED,TURUN,14,5.118,8.09,1.0
P04,NGEED,TAHAN,8,8.09,10.089,1.0
