participant_id,task,subphase,n,start,end,rep
P34,BERDIRI RILEKS,,20,13.139,21.152,
P34,NGEED,TURUN,14,21.152,24.158,2.0
P34,NGEED,TAHAN,7,24.158,26.123,2.0
P34,NGEED,NAIK,20,26.123,29.158,2.0
P34,BERDIRI RILEKS,,20,29.158,37.156,
P34,AGEM KANAN,TURUN,14,37.156,40.156,1.0
P34,AGEM KANAN,TAHAN,8,40.156,42.155,1.0
P34,AGEM KANAN,NAIK,19,42.155,45.155,1.0
P34,BERDIRI RILEKS,,20,45.155,53.154,
P34,AGEM KANAN,TURUN,14,53.154,56.189,2.0
P34,AGEM KANAN,TAHAN,8,56.189,58.153,2.0
P34,AGEM KANAN,NAIK,19,58.153,61.215,2.0
P34,BERDIRI RILEKS,,21,61.215,69.186,
P34,AGEM KIRI,TURUN,14,69.186,72.22,1.0
P34,AGEM KIRI,TAHAN,8,72.22,74.185,1.0
P34,AGEM KIRI,NAIK,19,74.185,77.338,1.0
P34,BERDIRI RILEKS,,18,77.338,85.218,
P34,AGEM KIRI,TURUN,15,85.218,88.218,2.0
P34,AGEM KIRI,TAHAN,8,88.218,90.218,2.0
P34,AGEM KIRI,NAIK,21,90.218,93.224,2.0
P34,ISTIRAHAT UTAMA,,363,93.224,273.218,
P34,BERSIAP,,1,273.218,273.232,
P34,BERSIAP,,8,276.634,278.252,
P34,NGEED,TURUN,14,278.252,281.251,3.0
P34,NGEED,TAHAN,12,281.251,284.251,3.0
P34,NGEED,NAIK,14,284.251,286.236,3.0
P34,BERDIRI RILEKS,,22,286.236,294.215,
P34,NGEED,TURUN,12,294.215,297.256,4.0
P34,NGEED,TAHAN,8,297.256,299.249,4.0
P34,NGEED,NAIK,19,299.249,302.283,4.0
P34,BERDIRI RILEKS,,20,302.283,310.282,
P34,AGEM KANAN,TURUN,14,310.282,313.282,3.0
P34,AGEM KANAN,TAHAN,14,313.282,316.281,3.0
P34,AGEM KANAN,NAIK,12,316.281,318.316,3.0
P34,BERDIRI RILEKS,,20,318.316,326.314,
P34,AGEM KANAN,TURUN,13,326.314,329.286,4.0
P34,AGEM KANAN,TAHAN,9,329.286,331.32,4.0
P34,AGEM KANAN,NAIK,18,331.32,334.306,4.0
P34,BERDIRI RILEKS,,20,334.306,342.319,
P34,AGEM KIRI,TURUN,14,342.319,345.318,3.0
P34,AGEM KIRI,TAHAN,8,345.318,347.318,3.0
P34,AGEM KIRI,NAIK,18,347.318,350.32,3.0
P34,BERDIRI RILEKS,,21,350.32,358.351,
P34,AGEM KIRI,TURUN,14,358.351,361.35,4.0
P34,AGEM KIRI,TAHAN,14,361.35,364.35,4.0
P34,AGEM KIRI,NAIK,13,364.35,366.462,4.0
P34,BERDIRI FOKUS MATA TERBUKA,,63,366.462,396.484,
P34,BERDIRI ISTIRAHAT,,33,396.484,411.551,
P34,BERDIRI MATA TERTUTUP,,63,411.551,441.505,
P35,BERSIAP,,14,0.125,5.115,
P35,NGEED,TURUN,14,5.115,8.115,1.0
P35,NGEED,TAHAN,8,8.115,10.114,1.0
P35,NGEED,NAIK,18,10.114,13.114,1.0
P35,BERDIRI RILEKS,,21,13.114,21.155,
P35,NGEED,TURUN,14,21.155,24.154,2.0
P35,NGEED,TAHAN,7,24.154,26.119,2.0
P35,NGEED,NAIK,20,26.119,29.167,2.0
P35,BERDIRI RILEKS,,19,29.167,37.152,
P35,AGEM KANAN,TURUN,14,37.152,40.152,1.0
P35,AGEM KANAN,TAHAN,8,40.152,42.152,1.0
P35,AGEM KANAN,NAIK,19,42.152,45.172,1.0
P35,BERDIRI RILEKS,,19,45.172,53.147,
P35,AGEM KANAN,TURUN,15,53.147,56.184,2.0
P35,AGEM KANAN,TAHAN,8,56.184,58.149,2.0
P35,AGEM KANAN,NAIK,19,58.149,61.204,2.0
P35,BERDIRI RILEKS,,19,61.204,69.182,
P35,AGEM KIRI,TURUN,15,69.182,72.216,1.0
P35,AGEM KIRI,TAHAN,7,72.216,74.181,1.0
P35,AGEM KIRI,NAIK,18,74.181,77.202,1.0
P35,BERDIRI RILEKS,,19,77.202,85.214,
P35,AGEM KIRI,TURUN,14,85.214,88.22,2.0
P35,AGEM KIRI,TAHAN,8,88.22,90.214,2.0
P35,AGEM KIRI,NAIK,18,90.214,93.317,2.0
P35,ISTIRAHAT UTAMA,,364,93.317,273.193,
P35,BERSIAP,,10,276.095,278.248,
P35,NGEED,TURUN,14,278.248,281.248,3.0
P35,NGEED,TAHAN,14,281.248,284.248,3.0
P35,NGEED,NAIK,11,284.248,286.254,3.0
P35,BERDIRI RILEKS,,21,286.254,294.218,
P35,NGEED,TURUN,15,294.218,297.244,4.0
P35,NGEED,TAHAN,8,297.244,299.251,4.0
P35,NGEED,NAIK,19,299.251,302.278,4.0
P35,BERDIRI RILEKS,,20,302.278,310.284,
P35,AGEM KANAN,TURUN,14,310.284,313.284,3.0
P35,AGEM KANAN,TAHAN,14,313.284,316.284,3.0
P35,AGEM KANAN,NAIK,11,316.284,318.283,3.0
P35,BERDIRI RILEKS,,21,318.283,326.317,
P35,AGEM KANAN,TURUN,14,326.317,329.282,4.0
P35,AGEM KANAN,TAHAN,8,329.282,331.316,4.0
P35,AGEM KANAN,NAIK,18,331.316,334.302,4.0
P35,BERDIRI RILEKS,,20,334.302,342.314,
P35,AGEM KIRI,TURUN,14,342.314,345.314,3.0
P35,AGEM KIRI,TAHAN,8,345.314,347.314,3.0
P35,AGEM KIRI,NAIK,18,347.314,350.314,3.0
P35,BERDIRI RILEKS,,20,350.314,358.347,
P35,AGEM KIRI,TURUN,14,358.347,361.346,4.0
P35,AGEM KIRI,TAHAN,14,361.346,364.346,4.0
P35,AGEM KIRI,NAIK,14,364.346,366.437,4.0
P35,BERDIRI FOKUS MATA TERBUKA,,61,366.437,396.522,
P35,BERDIRI ISTIRAHAT,,36,396.522,411.588,
P35,BERDIRI MATA TERTUTUP,,62,411.588,441.501,
P36,BERSIAP,,4,0.805,1.097,
P36,BERSIAP,,6,3.444,5.152,
P36,NGEED,TURUN,14,5.152,8.151,1.0
P36,NGEED,TAHAN,8,8.151,10.151,1.0
P36,NGEED,NAIK,18,10.151,13.171,1.0
P36,BERDIRI RILEKS,,20,13.171,21.191,
P36,NGEED,TURUN,14,21.191,24.191,2.0
P36,NGEED,TAHAN,8,24.191,26.156,2.0
P36,NGEED,NAIK,19,26.156,29.224,2.0
P36,BERDIRI RILEKS,,21,29.224,37.188,
P36,AGEM KANAN,TURUN,14,37.188,40.189,1.0
P36,AGEM KANAN,TAHAN,8,40.189,42.188,1.0
P36,AGEM KANAN,NAIK,21,42.188,45.187,1.0
P36,BERDIRI RILEKS,,20,45.187,53.186,
P36,AGEM KANAN,TURUN,14,53.186,56.221,2.0
P36,AGEM KANAN,TAHAN,8,56.221,58.186,2.0
P36,AGEM KANAN,NAIK,19,58.186,61.22,2.0
P36,BERDIRI RILEKS,,20,61.22,69.218,
P36,AGEM KIRI,TURUN,13,69.218,72.26,1.0
P36,AGEM KIRI,TAHAN,10,72.26,74.218,1.0
P36,AGEM KIRI,NAIK,21,74.218,77.224,1.0
P36,BERDIRI RILEKS,,18,77.224,85.258,
P36,AGEM KIRI,TURUN,14,85.258,88.258,2.0
P36,AGEM KIRI,TAHAN,8,88.258,90.25,2.0
P36,AGEM KIRI,NAIK,18,90.25,93.361,2.0
P36,ISTIRAHAT UTAMA,,362,93.361,273.229,
P36,BERSIAP,,9,276.132,278.284,
P36,NGEED,TURUN,14,278.284,281.284,3.0
P36,NGEED,TAHAN,14,281.284,284.284,3.0
P36,NGEED,NAIK,11,284.284,286.256,3.0
P36,BERDIRI RILEKS,,20,286.256,294.254,
P36,NGEED,TURUN,15,294.254,297.281,4.0
P36,NGEED,TAHAN,7,297.281,299.281,4.0
P36,NGEED,NAIK,19,299.281,302.35,4.0
P36,BERDIRI RILEKS,,20,302.35,310.322,
P36,AGEM KANAN,TURUN,14,310.322,313.321,3.0
P36,AGEM KANAN,TAHAN,8,313.321,315.321,3.0
P36,AGEM KANAN,NAIK,18,315.321,318.417,3.0
P36,BERDIRI RILEKS,,20,318.417,326.354,
P36,AGEM KANAN,TURUN,14,326.354,329.318,4.0
P36,AGEM KANAN,TAHAN,8,329.318,331.352,4.0
P36,AGEM KANAN,NAIK,18,331.352,334.339,4.0
P36,BERDIRI RILEKS,,20,334.339,342.351,
P36,AGEM KIRI,TURUN,14,342.351,345.35,3.0
P36,AGEM KIRI,TAHAN,8,345.35,347.35,3.0
P36,AGEM KIRI,NAIK,18,347.35,350.357,3.0
P36,BERDIRI RILEKS,,21,350.357,358.384,
P36,AGEM KIRI,TURUN,14,358.384,361.383,4.0
P36,AGEM KIRI,TAHAN,13,361.383,364.383,4.0
P36,AGEM KIRI,NAIK,13,364.383,366.462,4.0
P36,BERDIRI FOKUS MATA TERBUKA,,64,366.462,396.516,
P36,BERDIRI ISTIRAHAT,,33,396.516,411.59,
P36,BERDIRI MATA TERTUTUP,,62,411.59,441.503,
P37,BERSIAP,,15,0.093,5.09,
P37,NGEED,TURUN,13,5.09,8.09,1.0
P37,NGEED,TAHAN,8,8.09,10.09,1.0
P37,NGEED,NAIK,18,10.09,13.089,1.0
P37,BERDIRI RILEKS,,21,13.089,21.122,
P37,NGEED,TURUN,13,21.122,24.122,2.0
P37,NGEED,TAHAN,9,24.122,26.087,2.0
P37,NGEED,NAIK,20,26.087,29.121,2.0
P37,BERDIRI RILEKS,,19,29.121,37.12,
P37,AGEM KANAN,TURUN,14,37.12,40.12,1.0
P37,AGEM KANAN,TAHAN,8,40.12,42.12,1.0
P37,AGEM KANAN,NAIK,19,42.12,45.119,1.0
P37,BERDIRI RILEKS,,20,45.119,53.118,
P37,AGEM KANAN,TURUN,15,53.118,56.159,2.0
P37,AGEM KANAN,TAHAN,7,56.159,58.117,2.0
P37,AGEM KANAN,NAIK,20,58.117,61.158,2.0
P37,BERDIRI RILEKS,,20,61.158,69.157,
P37,AGEM KIRI,TURUN,14,69.157,72.184,1.0
P37,AGEM KIRI,TAHAN,8,72.184,74.156,1.0
P37,AGEM KIRI,NAIK,19,74.156,77.156,1.0
P37,BERDIRI RILEKS,,20,77.156,85.19,
P37,AGEM KIRI,TURUN,14,85.19,88.188,2.0
P37,AGEM KIRI,TAHAN,8,88.188,90.188,2.0
P37,AGEM KIRI,NAIK,18,90.188,93.188,2.0
P37,ISTIRAHAT UTAMA,,364,93.188,273.168,
P37,BERSIAP,,9,276.098,278.223,
P37,NGEED,TURUN,14,278.223,281.222,3.0
P37,NGEED,TAHAN,13,281.222,284.222,3.0
P37,NGEED,NAIK,12,284.222,286.186,3.0
P37,BERDIRI RILEKS,,20,286.186,294.186,
P37,NGEED,TURUN,14,294.186,297.22,4.0
P37,NGEED,TAHAN,8,297.22,299.219,4.0
P37,NGEED,NAIK,19,299.219,302.247,4.0
P37,BERDIRI RILEKS,,20,302.247,310.253,
P37,AGEM KANAN,TURUN,14,310.253,313.252,3.0
P37,AGEM KANAN,TAHAN,14,313.252,316.252,3.0
P37,AGEM KANAN,NAIK,12,316.252,318.251,3.0
P37,BERDIRI RILEKS,,19,318.251,326.285,
P37,AGEM KANAN,TURUN,13,326.285,329.25,4.0
P37,AGEM KANAN,TAHAN,9,329.25,331.284,4.0
P37,AGEM KANAN,NAIK,18,331.284,334.249,4.0
P37,BERDIRI RILEKS,,21,334.249,342.282,
P37,AGEM KIRI,TURUN,14,342.282,345.282,3.0
P37,AGEM KIRI,TAHAN,8,345.282,347.282,3.0
P37,AGEM KIRI,NAIK,19,347.282,350.35,3.0
P37,BERDIRI RILEKS,,19,350.35,358.322,
P37,AGEM KIRI,TURUN,14,358.322,361.321,4.0
P37,AGEM KIRI,TAHAN,14,361.321,364.321,4.0
P37,AGEM KIRI,NAIK,13,364.321,366.385,4.0
P37,BERDIRI FOKUS MATA TERBUKA,,65,366.385,396.49,
P37,BERDIRI ISTIRAHAT,,32,396.49,411.557,
P37,BERDIRI MATA TERTUTUP,,63,411.557,441.512,
P38,BERSIAP,,14,0.125,5.089,
P38,NGEED,TURUN,14,5.089,8.088,1.0
P38,NGEED,TAHAN,8,8.088,10.088,1.0
P38,NGEED,NAIK,18,10.088,13.088,1.0
P38,BERDIRI RILEKS,,21,13.088,21.121,
P38,NGEED,TURUN,14,21.121,24.121,2.0
P38,NGEED,TAHAN,8,24.121,26.086,2.0
P38,NGEED,NAIK,20,26.086,29.141,2.0
P38,BERDIRI RILEKS,,20,29.141,37.119,
P38,AGEM KANAN,TURUN,14,37.119,40.118,1.0
P38,AGEM KANAN,TAHAN,8,40.118,42.118,1.0
P38,AGEM KANAN,NAIK,19,42.118,45.118,1.0
P38,BERDIRI RILEKS,,20,45.118,53.116,
P38,AGEM KANAN,TURUN,15,53.116,56.151,2.0
P38,AGEM KANAN,TAHAN,7,56.151,58.116,2.0
P38,AGEM KANAN,NAIK,20,58.116,61.157,2.0
P38,BERDIRI RILEKS,,20,61.157,69.149,
P38,AGEM KIRI,TURUN,14,69.149,72.184,1.0
P38,AGEM KIRI,TAHAN,8,72.184,74.155,1.0
P38,AGEM KIRI,NAIK,19,74.155,77.154,1.0
P38,BERDIRI RILEKS,,20,77.154,85.188,
P38,AGEM KIRI,TURUN,14,85.188,88.188,2.0
P38,AGEM KIRI,TAHAN,8,88.188,90.188,2.0
P38,AGEM KIRI,NAIK,18,90.188,93.186,2.0
P38,ISTIRAHAT UTAMA,,364,93.186,273.23,
P38,BERSIAP,,15,273.23,278.215,
P38,NGEED,TURUN,14,278.215,281.215,3.0
P38,NGEED,TAHAN,14,281.215,284.214,3.0
P38,NGEED,NAIK,11,284.214,286.186,3.0
P38,BERDIRI RILEKS,,20,286.186,294.184,
P38,NGEED,TURUN,15,294.184,297.219,4.0
P38,NGEED,TAHAN,8,297.219,299.218,4.0
P38,NGEED,NAIK,19,299.218,302.267,4.0
P38,BERDIRI RILEKS,,19,302.267,310.251,
P38,AGEM KANAN,TURUN,14,310.251,313.25,3.0
P38,AGEM KANAN,TAHAN,16,313.25,316.25,3.0
P38,AGEM KANAN,NAIK,12,316.25,318.25,3.0
P38,BERDIRI RILEKS,,19,318.25,326.284,
P38,AGEM KANAN,TURUN,13,326.284,329.249,4.0
P38,AGEM KANAN,TAHAN,9,329.249,331.283,4.0
P38,AGEM KANAN,NAIK,18,331.283,334.248,4.0
P38,BERDIRI RILEKS,,21,334.248,342.281,
P38,AGEM KIRI,TURUN,14,342.281,345.281,3.0
P38,AGEM KIRI,TAHAN,8,345.281,347.281,3.0
P38,AGEM KIRI,NAIK,19,347.281,350.28,3.0
P38,BERDIRI RILEKS,,20,350.28,358.321,
P38,AGEM KIRI,TURUN,14,358.321,361.32,4.0
P38,AGEM KIRI,TAHAN,14,361.32,364.32,4.0
P38,AGEM KIRI,NAIK,13,364.32,366.402,4.0
P38,BERDIRI FOKUS MATA TERBUKA,,65,366.402,396.482,
P38,BERDIRI ISTIRAHAT,,31,396.482,411.52,
P38,BERDIRI MATA TERTUTUP,,62,411.52,441.038,
