task,subphase,n,start,end,rep
BERSIAP,,14,0.106,5.1205,
NGEED,TURUN,14,5.1205,8.120000000000001,1.0
NGEED,TAHAN,8,8.120000000000001,10.119499999999999,1.0
NGEED,NAIK,18,10.119499999999999,13.119499999999999,1.0
BERDIRI RILEKS,,21,13.119499999999999,21.1525,
NGEED,TURUN,14,21.1525,24.1525,2.0
NGEED,TAHAN,7,24.1525,26.117,2.0
NGEED,NAIK,20,26.117,29.1515,2.0
BERDIRI RILEKS,,20,29.1515,37.1515,
AGEM KANAN,TURUN,14,37.1515,40.157,1.0
AGEM KANAN,TAHAN,8,40.157,42.1495,1.0
AGEM KANAN,NAIK,19,42.1495,45.156000000000006,1.0
BERDIRI RILEKS,,20,45.156000000000006,53.155,
AGEM KANAN,TURUN,14,53.155,56.182,2.0
AGEM KANAN,TAHAN,8,56.182,58.153999999999996,2.0
AGEM KANAN,NAIK,19,58.153999999999996,61.272,2.0
BERDIRI RILEKS,,19,61.272,69.187,
AGEM KIRI,TURUN,14,69.187,72.221,1.0
AGEM KIRI,TAHAN,8,72.221,74.1865,1.0
AGEM KIRI,NAIK,19,74.1865,77.214,1.0
BERDIRI RILEKS,,19,77.214,85.21950000000001,
AGEM KIRI,TURUN,14,85.21950000000001,88.219,2.0
AGEM KIRI,TAHAN,8,88.219,90.219,2.0
AGEM KIRI,NAIK,18,90.219,93.2875,2.0
ISTIRAHAT UTAMA,,364,93.2875,273.219,
BERSIAP,,2,273.219,273.261,
NGEED,TURUN,14,278.274,281.252,3.0
NGEED,TAHAN,14,281.252,284.252,3.0
NGEED,NAIK,11,284.252,286.217,3.0
BERDIRI RILEKS,,20,286.217,294.216,
NGEED,TURUN,13,294.216,297.25,4.0
NGEED,TAHAN,10,297.25,299.25,4.0
NGEED,NAIK,20,299.25,302.284,4.0
BERDIRI RILEKS,,20,302.284,310.2825,
AGEM KANAN,TURUN,14,310.2825,313.282,3.0
AGEM KANAN,TAHAN,14,313.282,316.282,3.0
AGEM KANAN,NAIK,12,316.282,318.2815,3.0
BERDIRI RILEKS,,20,318.2815,326.31550000000004,
AGEM KANAN,TURUN,14,326.31550000000004,329.28,4.0
AGEM KANAN,TAHAN,8,329.28,331.321,4.0
AGEM KANAN,NAIK,18,331.321,334.29949999999997,4.0
BERDIRI RILEKS,,20,334.29949999999997,342.3195,
AGEM KIRI,TURUN,14,342.3195,345.319,3.0
AGEM KIRI,TAHAN,8,345.319,347.319,3.0
AGEM KIRI,NAIK,19,347.319,350.318,3.0
BERDIRI RILEKS,,20,350.318,358.352,
AGEM KIRI,TURUN,14,358.352,361.3515,4.0
AGEM KIRI,TAHAN,14,361.3515,364.351,4.0
AGEM KIRI,NAIK,12,364.351,366.39549999999997,4.0
BERDIRI FOKUS MATA TERBUKA,,65,366.39549999999997,396.485,
BERDIRI ISTIRAHAT,,32,396.485,411.552,
BERDIRI MATA TERTUTUP,,63,411.552,441.527,
