task,subphase,n,start,end,rep
BERSIAP,,14,0.125,5.089,
NGEED,TURUN,14,5.089,8.0885,1.0
NGEED,TAHAN,8,8.0885,10.0885,1.0
NGEED,NAIK,18,10.0885,13.0875,1.0
BERDIRI RILEKS,,21,13.0875,21.121000000000002,
NGEED,TURUN,14,21.121000000000002,24.121000000000002,2.0
NGEED,TAHAN,8,24.121000000000002,26.086,2.0
NGEED,NAIK,20,26.086,29.141,2.0
BERDIRI RILEKS,,20,29.141,37.119,
AGEM KANAN,TURUN,14,37.119,40.1185,1.0
AGEM KANAN,TAHAN,8,40.1185,42.117999999999995,1.0
AGEM KANAN,NAIK,19,42.117999999999995,45.1175,1.0
BERDIRI RILEKS,,20,45.1175,53.1165,
AGEM KANAN,TURUN,15,53.1165,56.150999999999996,2.0
AGEM KANAN,TAHAN,7,56.150999999999996,58.116,2.0
AGEM KANAN,NAIK,20,58.116,61.157,2.0
BERDIRI RILEKS,,20,61.157,69.149,
AGEM KIRI,TURUN,14,69.149,72.1835,1.0
AGEM KIRI,TAHAN,8,72.1835,74.155,1.0
AGEM KIRI,NAIK,19,74.155,77.154,1.0
BERDIRI RILEKS,,20,77.154,85.188,
AGEM KIRI,TURUN,14,85.188,88.1875,2.0
AGEM KIRI,TAHAN,8,88.1875,90.1875,2.0
AGEM KIRI,NAIK,18,90.1875,93.1865,2.0
ISTIRAHAT UTAMA,,364,93.1865,273.23,
BERSIAP,,15,273.23,278.21500000000003,
NGEED,TURUN,14,278.21500000000003,281.21450000000004,3.0
NGEED,TAHAN,14,281.21450000000004,284.2145,3.0
NGEED,NAIK,11,284.2145,286.1855,3.0
BERDIRI RILEKS,,20,286.1855,294.1845,
NGEED,TURUN,15,294.1845,297.219,4.0
NGEED,TAHAN,8,297.219,299.21849999999995,4.0
NGEED,NAIK,19,299.21849999999995,302.267,4.0
BERDIRI RILEKS,,19,302.267,310.251,
AGEM KANAN,TURUN,14,310.251,313.2505,3.0
AGEM KANAN,TAHAN,16,313.2505,316.2505,3.0
AGEM KANAN,NAIK,12,316.2505,318.25,3.0
BERDIRI RILEKS,,19,318.25,326.284,
AGEM KANAN,TURUN,13,326.284,329.24850000000004,4.0
AGEM KANAN,TAHAN,9,329.24850000000004,331.283,4.0
AGEM KANAN,NAIK,18,331.283,334.248,4.0
BERDIRI RILEKS,,21,334.248,342.281,
AGEM KIRI,TURUN,14,342.281,345.281,3.0
AGEM KIRI,TAHAN,8,345.281,347.281,3.0
AGEM KIRI,NAIK,19,347.281,350.28,3.0
BERDIRI RILEKS,,20,350.28,358.32050000000004,
AGEM KIRI,TURUN,14,358.32050000000004,361.32,4.0
AGEM KIRI,TAHAN,14,361.32,364.3195,4.0
AGEM KIRI,NAIK,13,364.3195,366.40150000000006,4.0
BERDIRI FOKUS MATA TERBUKA,,65,366.40150000000006,396.4815,
BERDIRI ISTIRAHAT,,31,396.4815,411.52049999999997,
BERDIRI MATA TERTUTUP,,62,411.52049999999997,441.038,
