task,rep,hud_turun,hud_tahan,hud_naik,hud_end,ocr_protocol_dev,act_turun,act_tahan,act_naik,act_end,depth_px,act_turun_extrap,track_noise_px,pose_valid_frac,compliance,phase_source,act_arm,first_move,baseline_range_frac,baseline_still,fallback_latency_sec,task_hud,rep_hud,reclass,side_feature,kandidat_salah_sisi,tinjauan
NGEED,1,5.089,8.089,10.089,13.089,0.0005000000000006111,8.804,9.54,10.137,12.068,23.0522430419922,8.738,2.151336669921875,1.0,short_hold,video,2.012,lengan,,False,2.151999999999987,NGEED,1,,16.076416015625,False,
NGEED,2,21.121,24.121,26.121,29.121,0.03500000000000014,22.676,25.468,26.94,27.273,24.74995117187501,22.59575,2.534332275390625,1.0,ok,video,15.872,lengan,0.948406818984412,False,2.151999999999987,NGEED,2,,17.73443603515625,False,
AGEM KANAN,1,37.119,40.119,42.119,45.119,0.0009999999999976694,,,,,0.8055419921875,36.66,2.851104736328125,1.0,incomplete,video,31.203,batang_tubuh,32.18472495832702,False,2.151999999999987,AGEM KANAN,1,tanpa_turun,,False,turun_tidak_terdeteksi
AGEM KANAN,2,53.1165,56.1165,58.1165,61.1165,0.03450000000000131,55.269,58.407,60.005,60.532,18.564910888671875,55.18575,2.349212646484375,1.0,ok,video,47.201,lengan,0.36737324007331484,False,2.151999999999987,AGEM KANAN,2,,-65.54425048828125,False,
AGEM KIRI,1,69.149,72.149,74.149,77.149,0.0344999999999942,71.531,72.877,73.141,78.737,21.7269287109375,71.41300000000001,2.017242431640625,1.0,short_hold,video,63.268,lengan,0.5480259794254636,False,2.151999999999987,AGEM KIRI,1,,46.045867919921875,False,
AGEM KIRI,2,85.188,88.188,90.188,93.188,0.0005000000000023874,86.875,87.875,90.93,91.874,41.180938720703125,86.743,1.778900146484375,1.0,ok,video,86.875,batang_tubuh,0.25353837990776756,False,2.151999999999987,AGEM KIRI,2,,5.400634765625,False,
NGEED,3,278.21500000000003,281.21500000000003,283.21500000000003,286.21500000000003,0.999499999999955,,,,,9.565499877929653,281.58025,1.842498779296875,1.0,incomplete,video,272.369,batang_tubuh,0.6537630689922858,False,2.151999999999987,NGEED,3,tanpa_turun,,False,tidak_turun
NGEED,4,294.1845,297.1845,299.1845,302.1845,0.03449999999997999,297.503,298.503,299.031,301.961,35.2879638671875,297.43674999999996,1.912445068359375,1.0,short_hold,video,297.503,batang_tubuh,0.12410880762698086,True,2.151999999999987,NGEED,4,,61.533477783203125,False,
AGEM KANAN,3,310.251,313.251,315.251,318.251,0.9995000000000118,314.362,315.361,318.104,318.965,30.542779541015648,314.29275,1.63519287109375,1.0,late,video,314.362,batang_tubuh,0.19174765478667702,True,2.151999999999987,AGEM KANAN,3,,-31.0970458984375,False,
AGEM KANAN,4,326.284,329.284,331.284,334.284,0.035499999999956344,328.436,331.366,333.102,334.699,26.605194091796875,328.37,2.016571044921875,0.9944444444444445,ok,video,328.436,batang_tubuh,0.10077552279825969,True,2.151999999999987,AGEM KANAN,4,,-60.59259033203125,False,
AGEM KIRI,3,342.281,345.281,347.281,350.281,0.0,345.433,348.169,349.961,350.502,18.34039306640625,345.31475,1.8980712890625,0.9944444444444445,late,video,345.433,batang_tubuh,0.0579072778038464,True,2.151999999999987,AGEM KIRI,3,,25.849609375,False,
AGEM KIRI,4,358.32050000000004,361.32050000000004,363.32050000000004,366.32050000000004,0.9989999999999668,360.362,361.431,363.236,365.236,26.512420654296875,360.2925,2.4359283447265625,0.9719101123595506,ok,video,358.098,lengan,0.3870912416446909,False,2.151999999999987,AGEM KIRI,4,,14.413116455078125,False,
