task,rep,hud_turun,hud_tahan,hud_naik,hud_end,ocr_protocol_dev,act_turun,act_tahan,act_naik,act_end,depth_px,act_turun_extrap,track_noise_px,pose_valid_frac,compliance,phase_source,act_arm,first_move,baseline_range_frac,baseline_still,fallback_latency_sec,task_hud,rep_hud,reclass,side_feature,kandidat_salah_sisi,tinjauan
NGEED,1,5.12,8.120000000000001,10.120000000000001,13.120000000000001,0.0005000000000023874,6.134,8.133,11.077,12.064,40.826171875,5.95,1.16424560546875,1.0,ok,video,6.134,batang_tubuh,0.07890539037458738,True,1.7532500000000226,NGEED,1,,60.15460205078125,False,
NGEED,2,21.152,24.152,26.152,29.152,0.03500000000000014,22.409,24.131,27.603,28.2,46.265777587890625,22.158749999999998,1.558502197265625,1.0,ok,video,16.674,lengan,1.2052509272530947,False,1.7532500000000226,NGEED,2,,58.662445068359375,False,
AGEM KANAN,1,37.157,40.157,42.157,45.157,0.000999999999990564,38.074,40.198,43.878,45.142,35.945962524414085,37.69225,1.398193359375,1.0,ok,video,31.339,lengan,0.16092762803052565,True,1.7532500000000226,AGEM KANAN,1,,24.89434814453125,False,
AGEM KANAN,2,53.155,56.155,58.155,61.155,0.03399999999999892,55.071,57.21,59.265,59.737,35.7662353515625,54.869749999999996,1.77178955078125,1.0,ok,video,48.476,lengan,0.8779407297685642,False,1.7532500000000226,AGEM KANAN,2,,-44.72755432128906,False,
AGEM KIRI,1,69.187,72.187,74.187,77.187,0.0344999999999942,70.402,72.208,73.277,77.067,18.279449462890625,70.2525,1.359405517578125,1.0,ok,video,63.264,lengan,0.37782166713134474,False,1.7532500000000226,AGEM KIRI,1,,45.451507568359375,False,
AGEM KIRI,2,85.219,88.219,90.219,93.219,0.0004999999999881766,86.941,89.732,91.468,92.011,17.068817138671875,86.84025,1.48748779296875,1.0,ok,video,86.4,lengan,0.38884091319498454,False,1.7532500000000226,AGEM KIRI,2,,86.54783630371094,False,
NGEED,3,278.25250000000005,281.25250000000005,283.25250000000005,286.25250000000005,0.9989999999999668,280.134,281.87,283.661,284.994,35.915554809570324,279.86675,1.88525390625,1.0,ok,video,275.607,lengan,0.0630165720252576,True,1.7532500000000226,NGEED,3,,154.80422973632812,False,
NGEED,4,294.21500000000003,297.21500000000003,299.21500000000003,302.21500000000003,0.03449999999997999,296.007,297.937,300.007,300.867,44.38751220703125,295.7745,1.803192138671875,1.0,ok,video,289.133,lengan,0.9445764494771364,False,1.7532500000000226,NGEED,4,,168.33721923828125,False,
AGEM KANAN,3,310.282,313.282,315.282,318.282,0.0004999999999881766,311.144,312.935,313.407,318.336,35.44084167480469,310.81425,1.79290771484375,1.0,short_hold,video,304.395,lengan,0.5751384947630961,False,1.7532500000000226,AGEM KANAN,3,,-25.335128784179688,False,
AGEM KANAN,4,326.31449999999995,329.31449999999995,331.31449999999995,334.31449999999995,0.02149999999994634,328.071,329.071,329.404,333.404,46.41460571289065,327.9565,2.07330322265625,1.0,short_hold,video,321.864,lengan,0.5365708431339105,False,1.7532500000000226,AGEM KANAN,4,,-64.39237976074219,False,
AGEM KIRI,3,342.3195,345.3195,347.3195,350.3195,0.0010000000000331966,344.138,344.736,348.263,348.735,12.85137939453125,343.72450000000003,1.172149658203125,1.0,ok,video_longgar,336.806,lengan,1.1881699492298998,False,1.7532500000000226,AGEM KIRI,3,,107.67223358154297,False,turun_tidak_terdeteksi
AGEM KIRI,4,358.3515,361.3515,363.3515,366.3515,0.9990000000000236,360.136,362.205,364.33,364.996,19.416296386718727,360.02150000000006,1.4571533203125,1.0,ok,video,352.595,lengan,0.5477142657755056,False,1.7532500000000226,AGEM KIRI,4,,98.47114562988281,False,
