task,subphase,n,start,end,rep
BERSIAP,,14,0.142,5.12,
NGEED,TURUN,14,5.12,8.119499999999999,1.0
NGEED,TAHAN,8,8.119499999999999,10.119499999999999,1.0
NGEED,NAIK,18,10.119499999999999,13.119,1.0
BERDIRI RILEKS,,21,13.119,21.152,
NGEED,TURUN,14,21.152,24.152,2.0
NGEED,TAHAN,7,24.152,26.117,2.0
NGEED,NAIK,20,26.117,29.151,2.0
BERDIRI RILEKS,,20,29.151,37.157,
AGEM KANAN,TURUN,14,37.157,40.156000000000006,1.0
AGEM KANAN,TAHAN,8,40.156000000000006,42.156000000000006,1.0
AGEM KANAN,NAIK,19,42.156000000000006,45.156000000000006,1.0
BERDIRI RILEKS,,20,45.156000000000006,53.155,
AGEM KANAN,TURUN,14,53.155,56.189,2.0
AGEM KANAN,TAHAN,8,56.189,58.153999999999996,2.0
AGEM KANAN,NAIK,19,58.153999999999996,61.188,2.0
BERDIRI RILEKS,,20,61.188,69.187,
AGEM KIRI,TURUN,14,69.187,72.22149999999999,1.0
AGEM KIRI,TAHAN,8,72.22149999999999,74.186,1.0
AGEM KIRI,NAIK,19,74.186,77.1855,1.0
BERDIRI RILEKS,,20,77.1855,85.219,
AGEM KIRI,TURUN,14,85.219,88.2185,2.0
AGEM KIRI,TAHAN,8,88.2185,90.2185,2.0
AGEM KIRI,NAIK,19,90.2185,93.21799999999999,2.0
ISTIRAHAT UTAMA,,363,93.21799999999999,273.3365,
BERSIAP,,14,273.3365,278.25250000000005,
NGEED,TURUN,14,278.25250000000005,281.252,3.0
NGEED,TAHAN,14,281.252,284.25149999999996,3.0
NGEED,NAIK,11,284.25149999999996,286.23699999999997,3.0
BERDIRI RILEKS,,19,286.23699999999997,294.21500000000003,
NGEED,TURUN,13,294.21500000000003,297.2495,4.0
NGEED,TAHAN,8,297.2495,299.249,4.0
NGEED,NAIK,19,299.249,302.30449999999996,4.0
BERDIRI RILEKS,,20,302.30449999999996,310.282,
AGEM KANAN,TURUN,14,310.282,313.282,3.0
AGEM KANAN,TAHAN,8,313.282,315.2815,3.0
AGEM KANAN,NAIK,19,315.2815,318.281,3.0
BERDIRI RILEKS,,20,318.281,326.31449999999995,
AGEM KANAN,TURUN,14,326.31449999999995,329.293,4.0
AGEM KANAN,TAHAN,8,329.293,331.31399999999996,4.0
AGEM KANAN,NAIK,18,331.31399999999996,334.28549999999996,4.0
BERDIRI RILEKS,,20,334.28549999999996,342.3195,
AGEM KIRI,TURUN,14,342.3195,345.3185,3.0
AGEM KIRI,TAHAN,8,345.3185,347.3185,3.0
AGEM KIRI,NAIK,19,347.3185,350.339,3.0
BERDIRI RILEKS,,20,350.339,358.3515,
AGEM KIRI,TURUN,14,358.3515,361.351,4.0
AGEM KIRI,TAHAN,14,361.351,364.3505,4.0
AGEM KIRI,NAIK,12,364.3505,366.385,4.0
BERDIRI FOKUS MATA TERBUKA,,62,366.385,396.519,
BERDIRI ISTIRAHAT,,35,396.519,411.586,
BERDIRI MATA TERTUTUP,,62,411.586,441.533,
