task,subphase,n,start,end,rep
BERSIAP,,12,1.403,4.6525,
NGEED,TURUN,14,4.6525,8.1175,1.0
NGEED,TAHAN,8,8.1175,10.117,1.0
NGEED,NAIK,18,10.117,13.117,1.0
BERDIRI RILEKS,,20,13.117,21.122500000000002,
NGEED,TURUN,15,21.122500000000002,24.157,2.0
NGEED,TAHAN,7,24.157,26.121499999999997,2.0
NGEED,NAIK,20,26.121499999999997,29.156,2.0
BERDIRI RILEKS,,20,29.156,37.155,
AGEM KANAN,TURUN,14,37.155,40.153999999999996,1.0
AGEM KANAN,TAHAN,8,40.153999999999996,42.153999999999996,1.0
AGEM KANAN,NAIK,19,42.153999999999996,45.1535,1.0
BERDIRI RILEKS,,19,45.1535,53.152,
AGEM KANAN,TURUN,15,53.152,56.187,2.0
AGEM KANAN,TAHAN,7,56.187,58.152,2.0
AGEM KANAN,NAIK,20,58.152,61.186,2.0
BERDIRI RILEKS,,20,61.186,69.1845,
AGEM KIRI,TURUN,15,69.1845,72.219,1.0
AGEM KIRI,TAHAN,7,72.219,74.184,1.0
AGEM KIRI,NAIK,18,74.184,77.1555,1.0
BERDIRI RILEKS,,21,77.1555,85.217,
AGEM KIRI,TURUN,14,85.217,88.2165,2.0
AGEM KIRI,TAHAN,8,88.2165,90.21600000000001,2.0
AGEM KIRI,NAIK,21,90.21600000000001,93.2225,2.0
ISTIRAHAT UTAMA,,363,93.2225,273.2165,
BERSIAP,,1,273.2165,273.23,
BERSIAP,,8,276.063,278.25,
NGEED,TURUN,14,278.25,281.25,3.0
NGEED,TAHAN,14,281.25,284.256,3.0
NGEED,NAIK,14,284.256,286.214,3.0
BERDIRI RILEKS,,20,286.214,294.21299999999997,
NGEED,TURUN,12,294.21299999999997,297.2545,4.0
NGEED,TAHAN,8,297.2545,299.254,4.0
NGEED,NAIK,19,299.254,302.281,4.0
BERDIRI RILEKS,,20,302.281,310.2805,
AGEM KANAN,TURUN,14,310.2805,313.28,3.0
AGEM KANAN,TAHAN,14,313.28,316.286,3.0
AGEM KANAN,NAIK,12,316.286,318.31399999999996,3.0
BERDIRI RILEKS,,20,318.31399999999996,326.3195,
AGEM KANAN,TURUN,13,326.3195,329.2845,4.0
AGEM KANAN,TAHAN,9,329.2845,331.319,4.0
AGEM KANAN,NAIK,18,331.319,334.291,4.0
BERDIRI RILEKS,,21,334.291,342.317,
AGEM KIRI,TURUN,14,342.317,345.3165,3.0
AGEM KIRI,TAHAN,8,345.3165,347.31600000000003,3.0
AGEM KIRI,NAIK,18,347.31600000000003,350.31550000000004,3.0
BERDIRI RILEKS,,21,350.31550000000004,358.349,
AGEM KIRI,TURUN,14,358.349,361.356,4.0
AGEM KIRI,TAHAN,14,361.356,364.3485,4.0
AGEM KIRI,NAIK,12,364.3485,366.405,4.0
BERDIRI FOKUS MATA TERBUKA,,65,366.405,396.48900000000003,
BERDIRI ISTIRAHAT,,31,396.48900000000003,411.5565,
BERDIRI MATA TERTUTUP,,63,411.5565,441.503,
