task,subphase,n,start,end,rep
BERSIAP,,6,0.237,0.944,
BERSIAP,,9,2.305,4.694,
NGEED,TURUN,14,4.694,8.1515,1.0
NGEED,TAHAN,8,8.1515,10.158000000000001,1.0
NGEED,NAIK,19,10.158000000000001,13.158000000000001,1.0
BERDIRI RILEKS,,20,13.158000000000001,21.184,
NGEED,TURUN,14,21.184,24.191000000000003,2.0
NGEED,TAHAN,8,24.191000000000003,26.156,2.0
NGEED,NAIK,19,26.156,29.189999999999998,2.0
BERDIRI RILEKS,,20,29.189999999999998,37.189,
AGEM KANAN,TURUN,14,37.189,40.188500000000005,1.0
AGEM KANAN,TAHAN,8,40.188500000000005,42.188,1.0
AGEM KANAN,NAIK,21,42.188,45.188,1.0
BERDIRI RILEKS,,20,45.188,53.194,
AGEM KANAN,TURUN,14,53.194,56.221000000000004,2.0
AGEM KANAN,TAHAN,8,56.221000000000004,58.186,2.0
AGEM KANAN,NAIK,20,58.186,61.2205,2.0
BERDIRI RILEKS,,20,61.2205,69.219,
AGEM KIRI,TURUN,12,69.219,72.253,1.0
AGEM KIRI,TAHAN,10,72.253,74.21799999999999,1.0
AGEM KIRI,NAIK,21,74.21799999999999,77.2175,1.0
BERDIRI RILEKS,,18,77.2175,85.25800000000001,
AGEM KIRI,TURUN,14,85.25800000000001,88.2575,2.0
AGEM KIRI,TAHAN,8,88.2575,90.257,2.0
AGEM KIRI,NAIK,18,90.257,93.257,2.0
ISTIRAHAT UTAMA,,364,93.257,273.264,
BERSIAP,,13,273.264,278.256,
NGEED,TURUN,15,278.256,281.2835,3.0
NGEED,TAHAN,13,281.2835,284.26250000000005,3.0
NGEED,NAIK,12,284.26250000000005,286.255,3.0
BERDIRI RILEKS,,20,286.255,294.254,
NGEED,TURUN,15,294.254,297.281,4.0
NGEED,TAHAN,8,297.281,299.281,4.0
NGEED,NAIK,19,299.281,302.3225,4.0
BERDIRI RILEKS,,20,302.3225,310.321,
AGEM KANAN,TURUN,14,310.321,313.32,3.0
AGEM KANAN,TAHAN,14,313.32,316.32,3.0
AGEM KANAN,NAIK,12,316.32,318.3195,3.0
BERDIRI RILEKS,,20,318.3195,326.353,
AGEM KANAN,TURUN,14,326.353,329.318,4.0
AGEM KANAN,TAHAN,8,329.318,331.352,4.0
AGEM KANAN,NAIK,18,331.352,334.317,4.0
BERDIRI RILEKS,,20,334.317,342.351,
AGEM KIRI,TURUN,14,342.351,345.3505,3.0
AGEM KIRI,TAHAN,8,345.3505,347.35,3.0
AGEM KIRI,NAIK,18,347.35,350.34950000000003,3.0
BERDIRI RILEKS,,20,350.34950000000003,358.38300000000004,
AGEM KIRI,TURUN,14,358.38300000000004,361.38250000000005,4.0
AGEM KIRI,TAHAN,14,361.38250000000005,364.38250000000005,4.0
AGEM KIRI,NAIK,13,364.38250000000005,366.4805,4.0
BERDIRI FOKUS MATA TERBUKA,,62,366.4805,396.551,
BERDIRI ISTIRAHAT,,34,396.551,411.6255,
BERDIRI MATA TERTUTUP,,63,411.6255,441.509,
