task,rep,hud_turun,hud_tahan,hud_naik,hud_end,ocr_protocol_dev,act_turun,act_tahan,act_naik,act_end,depth_px,act_turun_extrap,track_noise_px,pose_valid_frac,compliance,phase_source,act_arm,first_move,baseline_range_frac,baseline_still,fallback_latency_sec,task_hud,rep_hud,reclass,side_feature,kandidat_salah_sisi,tinjauan
NGEED,1,4.694,7.694,9.693999999999999,12.693999999999999,0.4640000000000004,7.103,8.978,11.575,12.366,32.473602294921875,6.853,0.82818603515625,1.0,ok,video,5.701,lengan,0.08524520836955347,True,1.45150000000001,NGEED,1,,68.30645751953125,False,
NGEED,2,21.184,24.184,26.184,29.184,0.028000000000002245,23.114,24.503,26.711,27.309,37.58672485351565,22.898500000000002,1.006866455078125,1.0,ok,video,15.31,lengan,0.05342137624754207,True,1.45150000000001,NGEED,2,,80.77821350097656,False,
AGEM KANAN,1,37.189,40.189,42.189,45.189,0.0009999999999976694,39.376,40.765,42.973,43.834,48.649444580078125,39.20925,1.080902099609375,1.0,ok,video,39.376,batang_tubuh,0.10918580179343786,True,1.45150000000001,AGEM KANAN,1,,-34.276275634765625,False,
AGEM KANAN,2,53.194,56.194,58.194,61.194,0.026999999999993918,54.707,56.235,58.901,59.776,50.88031005859375,54.589,1.3402099609375,1.0,ok,video,54.041,lengan,0.05138653803937751,True,1.45150000000001,AGEM KANAN,2,,-26.8629150390625,False,
AGEM KIRI,1,69.219,72.219,74.219,77.219,0.034000000000006025,71.302,72.565,74.774,75.371,37.21478271484375,71.18400000000001,1.233367919921875,1.0,ok,video,70.163,lengan,0.12207676550324982,True,1.45150000000001,AGEM KIRI,1,,92.11160278320312,False,
AGEM KIRI,2,85.25800000000001,88.25800000000001,90.25800000000001,93.25800000000001,0.0010000000000047748,86.702,87.91,90.841,91.577,43.02972717285155,86.56649999999999,1.303314208984375,1.0,ok,video,86.702,batang_tubuh,0.0726930057565326,True,1.45150000000001,AGEM KIRI,2,,73.16262817382812,False,
NGEED,3,278.256,281.256,283.256,286.256,1.0065000000000737,279.701,281.437,284.436,285.436,62.90644226074221,279.49975000000006,1.07879638671875,1.0,ok,video,274.632,lengan,0.045810489335877905,True,1.45150000000001,NGEED,3,,21.5919189453125,False,
NGEED,4,294.254,297.254,299.254,302.254,0.026999999999986812,295.101,297.17,299.975,300.975,67.96031494140624,294.83375,0.935791015625,1.0,ok,video,288.366,lengan,0.06787525175987179,True,1.45150000000001,NGEED,4,,14.234283447265625,False,
AGEM KANAN,3,310.321,313.321,315.321,318.321,0.9989999999999668,311.779,313.571,316.098,317.306,61.670440673828125,311.61575,1.128936767578125,1.0,ok,video,311.168,lengan,0.04851453644738737,True,1.45150000000001,AGEM KANAN,3,,-23.275238037109375,False,
AGEM KANAN,4,326.353,329.353,331.353,334.353,0.03500000000002501,327.165,329.165,332.109,333.095,63.12519226074221,326.9635,1.630767822265625,1.0,ok,video,322.708,lengan,0.44020789501965746,False,1.45150000000001,AGEM KANAN,4,,39.5516357421875,True,sesuai
AGEM KIRI,3,342.351,345.351,347.351,350.351,0.0009999999999763531,343.107,345.163,347.968,348.829,59.217001342773415,342.857,1.01629638671875,1.0,ok,video,343.107,batang_tubuh,0.06395049903302,True,1.45150000000001,AGEM KIRI,3,,83.65512084960938,False,
AGEM KIRI,4,358.38300000000004,361.38300000000004,363.38300000000004,366.38300000000004,0.9995000000000687,358.897,361.244,364.105,365.174,58.56732177734375,358.661,0.99371337890625,1.0,ok,video,357.3,lengan,0.13046822160411936,True,1.45150000000001,AGEM KIRI,4,,56.48747253417969,False,
