frame,t,raw,task,subphase
0,0.0,,UNKNOWN,
15,0.567,"ha
G
",UNKNOWN,
28,1.002,"ras
iS)
",UNKNOWN,
35,1.234,"eX
4)
",UNKNOWN,
38,1.392,"eX
4)
",UNKNOWN,
40,1.458,"eX
4)
",UNKNOWN,
41,1.493,"eX
4)
",UNKNOWN,
42,1.525,"=m
BERSIAP
@)
",BERSIAP,
55,2.001,"=z
BERSIAP
@)
",BERSIAP,
69,2.527,"==
BERSIAP
@)
",BERSIAP,
83,3.0,"=z
BERSIAP
()
",BERSIAP,
97,3.529,"=z
BERSIAP
@)
",BERSIAP,
112,4.0,"=z""
BERSIAP
2)
",BERSIAP,
115,4.116,"SE
BERSIAP
",BERSIAP,
116,4.138,"BERSIAP
@)
",BERSIAP,
117,4.188,"Seta
Se,
",UNKNOWN,
119,4.252,"Beas
ae,
",UNKNOWN,
127,4.501,"rl
ae,
",UNKNOWN,
141,5.033,"rl
ee,
",UNKNOWN,
142,5.084,"rl
ee,
",UNKNOWN,
143,5.11,"NGEED
~
1
TURUN
",NGEED,TURUN
144,5.141,"NGEED
~
1
TURUN
",NGEED,TURUN
147,5.235,"NGEED
~
1
TURUN
",NGEED,TURUN
154,5.527,"NGEED
~
1
TURUN
",NGEED,TURUN
169,6.025,"NGEED
~
1
TURUN
",NGEED,TURUN
181,6.53,"NGEED
2
TURUN
",NGEED,TURUN
194,7.008,"NGEED
2 \
TURUN
",NGEED,TURUN
195,7.068,"NGEED
2 \
TURUN
",NGEED,TURUN
196,7.11,"NGEED
TURUN
",NGEED,TURUN
197,7.136,"NGEED
3)
",NGEED,
201,7.268,"NGEED
3)
",NGEED,
209,7.532,"NGEED
3)
",NGEED,
224,8.059,"NGEED
3)
",NGEED,
225,8.077,"NGEED
3)
",NGEED,
226,8.143,"NGEED
+)
TAHAN
",NGEED,TAHAN
227,8.165,"NGEED
+)
TAHAN
",NGEED,TAHAN
230,8.266,"NGEED
>
TAHAN
",NGEED,TAHAN
237,8.519,"NGEED
>
TAHAN
",NGEED,TAHAN
253,9.038,"NGEED
>
TAHAN
",NGEED,TAHAN
267,9.545,"NGEED
TAHAN
",NGEED,TAHAN
