participant_id,task,rep,compliance,phase_source,dur_turun,dur_tahan,dur_naik,latency_hud,arm_lead,depth_px,is_simulated
P38,NGEED,1,short_hold,video,1.0,0.4720000000000013,1.9989999999999988,3.5759999999999987,6.262999999999999,24.33945931494236,False
P38,NGEED,2,ok,video,2.7920000000000016,1.3329999999999984,0.4720000000000013,1.5549999999999997,6.677999999999999,25.172370187938213,False
P38,AGEM KANAN,1,hud_fallback,hud_fallback,3.0,2.0,3.0,1.618000000000002,0.0,3.932460024952889,False
P38,AGEM KANAN,2,hud_fallback,hud_fallback,3.0,2.0,3.0,1.617999999999995,0.0,20.160549879074097,False
P38,AGEM KIRI,1,short_hold,video,2.125,0.3469999999999942,4.388999999999996,2.659000000000006,6.069000000000003,19.56672176718712,False
P38,AGEM KIRI,2,ok,video,1.0690000000000026,3.055000000000007,1.0,1.617999999999995,1.4719999999999942,41.52944833040237,False
P38,NGEED,3,incomplete,video,,,,,,10.491835325956345,False
P38,NGEED,4,short_hold,video,0.93100000000004,0.59699999999998,2.930000000000007,3.318499999999972,8.87299999999999,33.868069015443325,False
P38,AGEM KANAN,3,late,video,1.535000000000025,2.8039999999999736,1.19500000000005,3.375,0.45799999999997,28.7881388515234,False
P38,AGEM KANAN,4,hud_fallback,hud_fallback,3.0,2.0,3.0,1.617999999999995,0.0,24.94333814829588,False
P38,AGEM KIRI,3,incomplete,video,,,,,,8.013351261615753,False
P38,AGEM KIRI,4,hud_fallback,hud_fallback,2.999999999999943,2.0,3.0,1.617999999999995,0.0,22.258898504078388,False
