prediktor,sampel,outcome,n,slope,se,beta_std,p,slope_usia,p_usia,r_prediktor_usia,vif,r2,p_fdr,is_simulated
dance_years,semua,cv_tahan,38,-0.004088514282555824,0.0021751645915018976,-0.36921564090811737,0.06015791593710619,0.0027407543876211905,0.45040339277116015,0.48550442138208555,1.3084116557219105,0.10825722747261624,0.11608644874312506,False
dance_years,semua,dur_naik_sec,38,-0.010533686049191866,0.011222291654888448,-0.18058744303859078,0.3479158734533623,0.014095565431516507,0.09389686756895069,0.48550442138208555,1.3084116557219105,0.0473125375818898,0.405901852362256,False
dance_years,semua,dur_turun_sec,38,0.007084017575897504,0.004001635612624088,0.3593908535574417,0.07668042140310424,0.0008655077116881461,0.8715651297341456,0.48550442138208555,1.3084116557219105,0.14606836526330025,0.11608644874312506,False
dance_years,semua,offset_central_TURUN,38,-0.12326477304319286,0.06969894869226172,-0.3318444646450523,0.07697212264745255,0.09148586165868669,0.17968590825754083,0.48550442138208555,1.3084116557219105,0.09068360647569551,0.11608644874312506,False
dance_years,semua,offset_central_TAHAN,38,-0.11134211126087393,0.05340775006241874,-0.35486825002579336,0.03709148197398039,0.11422883820921487,0.03996028978511617,0.48550442138208555,1.3084116557219105,0.13055586172697586,0.11608644874312506,False
dance_years,semua,mu_periodic_central_TURUN,38,0.0016182911983904109,0.01411030523356248,0.02312138840179426,0.9086919476216914,-0.01640138005015173,0.15828895449950053,0.48550442138208555,1.3084116557219105,0.04832200254793273,0.9086919476216914,False
dance_years,semua,mu_periodic_posterior_TAHAN,38,-0.024402885509435226,0.01407321202965536,-0.3165102817259887,0.08291889195937505,0.015581320151411636,0.37830574219636615,0.48550442138208555,1.3084116557219105,0.07857110726286698,0.11608644874312506,False
dance_years,penari,cv_tahan,23,0.00669410905415261,0.004658391035662411,0.5913701346867405,0.1507179242609543,-0.0020555528081248387,0.5971138834797498,0.7659469185870603,2.419401756136882,0.18453087453363537,0.9022531642759758,False
dance_years,penari,dur_naik_sec,23,0.012178051140490042,0.022006227847720536,0.24271722547890076,0.5799956161936146,0.008983365215125048,0.5197949114968032,0.7659469185870603,2.419401756136882,0.21388841171177697,0.9022531642759758,False
dance_years,penari,dur_turun_sec,23,-0.0038071858403907442,0.01558926104288701,-0.18949802053588885,0.8070616052042925,0.006598387898465872,0.6303899772528913,0.7659469185870603,2.419401756136882,0.11245533778696382,0.9022531642759758,False
dance_years,penari,offset_central_TURUN,23,-0.1075031967618139,0.21382863500057064,-0.23518804997135367,0.6151372543728582,0.05317714634986818,0.7799345875675741,0.7659469185870603,2.419401756136882,0.023188460718222892,0.9022531642759758,False
dance_years,penari,offset_central_TAHAN,23,-0.04769907702437174,0.38837980160298075,-0.13648375234250276,0.9022531642759758,0.06405195298305953,0.8590352342289573,0.7659469185870603,2.419401756136882,0.030441889070467965,0.9022531642759758,False
dance_years,penari,mu_periodic_central_TURUN,23,0.00601137025703439,0.025530480225911735,0.07553254828676136,0.8138528345966654,-0.011999126428044488,0.48441113467306984,0.7659469185870603,2.419401756136882,0.025523598043400764,0.9022531642759758,False
dance_years,penari,mu_periodic_posterior_TAHAN,23,0.006488443778699763,0.042267688403913393,0.06557478715136911,0.8779973934403302,-0.00042244770474178576,0.9903013635567847,0.7659469185870603,2.419401756136882,0.0037379049612666915,0.9022531642759758,False
activity_per_month,semua,cv_tahan,38,-0.02078717270810186,0.004251346122425367,-0.7079089875008004,1.0106635459901257e-06,-0.0024337919322624554,0.19001988616744514,-0.39499801409330865,1.1848670175144471,0.42701600059668066,7.074644821930881e-06,False
activity_per_month,semua,dur_naik_sec,38,-0.05191783733178197,0.03226443352487233,-0.3356535171397388,0.10758677074411227,0.001012346247126115,0.9344424027533049,-0.39499801409330865,1.1848670175144471,0.11747296583534272,0.25103579840292867,False
activity_per_month,semua,dur_turun_sec,38,0.022293473857397092,0.008669518122645593,0.42651328963654545,0.0101265491798767,0.007749532102760722,0.049503387866128776,-0.39499801409330865,1.1848670175144471,0.2008826952780608,0.035442922129568455,False
activity_per_month,semua,offset_central_TURUN,38,-0.18752008565893924,0.29330643558360936,-0.19037539633043862,0.522607206923806,0.0020986457713081472,0.9666640295598624,-0.39499801409330865,1.1848670175144471,0.03710798657820391,0.522607206923806,False
activity_per_month,semua,offset_central_TAHAN,38,-0.20147715520780732,0.2586148141020059,-0.24215917774574813,0.43594278131058095,0.02861911782150243,0.569101588633529,-0.39499801409330865,1.1848670175144471,0.08379995375367089,0.5085999115290112,False
activity_per_month,semua,mu_periodic_central_TURUN,38,-0.03593236351971105,0.033010488639217905,-0.19360227316260303,0.2763684668343196,-0.021051801647433706,0.0565404942944304,-0.39499801409330865,1.1848670175144471,0.07954721147594312,0.4836448169600593,False
activity_per_month,semua,mu_periodic_posterior_TAHAN,38,-0.051517130427338256,0.054830065576531486,-0.2519798045826504,0.3474339991862466,-0.0042981102820166504,0.7757647816446983,-0.39499801409330865,1.1848670175144471,0.05559323707227004,0.48640759886074525,False
activity_per_month,penari,cv_tahan,23,-0.01671437375204834,0.00579170406509849,-0.684957059082912,0.0039027580843869892,-0.0017105839759860323,0.5103809389142926,-0.5993061255382923,1.5604709783671362,0.3406400836576611,0.027319306590708928,False
activity_per_month,penari,dur_naik_sec,23,-0.021206925810771108,0.030612895791151118,-0.19606819660421335,0.4884696895072145,0.01144674490441922,0.005065937322111174,-0.5993061255382923,1.5604709783671362,0.2141740775614388,0.8548219566376254,False
activity_per_month,penari,dur_turun_sec,23,0.015622507802696054,0.009878254247044064,0.36070983444963034,0.11376263234833317,0.007622664652737621,0.04306062244256093,-0.5993061255382923,1.5604709783671362,0.18099272124274246,0.3981692132191661,False
activity_per_month,penari,offset_central_TURUN,23,-0.17873146729689562,0.4628977056467323,-0.1813850649503829,0.6994119497185123,-0.041587981536142106,0.5588173781645797,-0.5993061255382923,1.5604709783671362,0.02140974980603061,0.8877783965434813,False
activity_per_month,penari,offset_central_TAHAN,23,-0.12518503272956516,0.4114819797702611,-0.1661613520664175,0.7609529113229839,0.01284943851354221,0.8957861693124538,-0.5993061255382923,1.5604709783671362,0.04043565822445949,0.8877783965434813,False
activity_per_month,penari,mu_periodic_central_TURUN,23,-0.04204736462619448,0.05572968992351188,-0.2450789841542515,0.4505564385407198,-0.017084449356078574,0.2040616673938901,-0.5993061255382923,1.5604709783671362,0.06165626506754607,0.8548219566376254,False
activity_per_month,penari,mu_periodic_posterior_TAHAN,23,-0.005522242597785682,0.09392789474856837,-0.025889189662819036,0.9531174938094195,0.0020427340145234146,0.9336650806193656,-0.5993061255382923,1.5604709783671362,0.002390102159052554,0.9531174938094195,False
proporsi_hidup_menari,semua,cv_tahan,38,-0.2571773935987455,0.08321031794125246,-0.4676338766204205,0.001996912224501288,0.0007784416040344307,0.7845320356474603,0.011201158575426225,1.0001254816971126,0.22272369466111652,0.013978385571509018,False
proporsi_hidup_menari,semua,dur_naik_sec,38,-0.7504611000613104,0.556925807836034,-0.2590561860114196,0.17781718800814528,0.009060025295121035,0.32293620542265433,0.011201158575426225,1.0001254816971126,0.08948948180978278,0.20745338600950283,False
proporsi_hidup_menari,semua,dur_turun_sec,38,0.35926779555118227,0.1655345185746652,0.3669984943103701,0.02998036293156277,0.004285363156791026,0.3287473883828741,0.011201158575426225,1.0001254816971126,0.1820228870176004,0.10493127026046971,False
proporsi_hidup_menari,semua,offset_central_TURUN,38,-4.4752748374022815,3.1802737501122613,-0.2425905683775656,0.15936868670295767,0.031571062861399296,0.5676447186355675,0.011201158575426225,1.0001254816971126,0.06536271990975528,0.20745338600950283,False
proporsi_hidup_menari,semua,offset_central_TAHAN,38,-4.088091829250288,2.4554649149825423,-0.26235354598805427,0.09593365964378282,0.06011973062824249,0.18351165576026462,0.011201158575426225,1.0001254816971126,0.10312901427160126,0.16788390437661996,False
