participant_id,task,rep,compliance,phase_source,dur_turun,dur_tahan,dur_naik,latency_hud,arm_lead,depth_px,is_simulated
P10,NGEED,1,ok,video,1.0699999999999994,4.333000000000001,0.8049999999999997,1.479,3.797,45.423683896660805,False
P10,NGEED,2,ok,video,1.2639999999999993,3.333000000000002,0.9299999999999997,1.652000000000001,0.0,50.8415911346674,False
P10,AGEM KANAN,1,ok,video,2.5970000000000013,2.8599999999999994,2.736000000000004,2.118000000000002,7.998999999999999,41.151559725403786,False
P10,AGEM KANAN,2,ok,video,2.0690000000000026,1.1939999999999955,0.2079999999999984,1.9789999999999992,7.790999999999997,60.89311577379704,False
P10,AGEM KIRI,1,ok,video,4.069000000000003,1.0690000000000026,2.3329999999999984,1.75,3.3329999999999984,56.37817531824112,False
P10,AGEM KIRI,2,short_hold,video,0.3340000000000032,0.8049999999999926,1.3190000000000026,1.1175000000000068,0.0,15.478324964642525,False
P10,NGEED,3,ok,video,1.1379999999999768,3.333000000000027,0.5279999999999632,1.214999999999975,6.73599999999999,59.67052768915892,False
P10,NGEED,4,ok,video,1.47199999999998,3.333000000000027,0.47199999999998,1.1800000000000068,0.0,54.79044243693352,False
P10,AGEM KANAN,3,short_hold,video,0.73599999999999,0.73599999999999,4.999000000000024,1.51400000000001,0.58299999999997,34.37186762690544,False
P10,AGEM KANAN,4,ok,video,0.40300000000002,1.47199999999998,2.194000000000017,1.2839999999999918,3.33299999999997,40.04879556596279,False
P10,AGEM KIRI,3,short_hold,video,0.73599999999999,0.7909999999999968,3.665999999999997,1.75,0.5970000000000368,57.69807882606983,False
P10,AGEM KIRI,4,short_hold,video,0.2769999999999868,0.79200000000003,4.867999999999995,1.3125,6.860000000000014,23.030600249767303,False
