sampel,hipotesis,endpoint,expect,n_penari,n_nonpenari,mean_penari,mean_nonpenari,statistik,t,p_one_sided,effect,p_fdr
"konfirmatori H1–H5 (tanpa P02, P10)",H1,mu_periodic_contra_abs_TAHAN,penari < non-penari,9,8,1.5267610299465144,1.5159371075451182,Welch satu arah,0.022901481185934207,0.5089567932879442,0.010658838181460243,0.6264628384657422
"konfirmatori H1–H5 (tanpa P02, P10)",H2,global_offset_TAHAN,penari < non-penari,9,9,5.435101121686059,5.900171809559024,Welch satu arah,-0.1532276763388038,0.44012806214329986,-0.06879258984420678,0.6264628384657422
"konfirmatori H1–H5 (tanpa P02, P10)",H3,hold_agem_sec,penari > non-penari,9,9,3.118444444444447,2.593444444444438,Welch satu arah,1.1807700499445013,0.1287065173408132,0.5301146091033239,0.6264628384657422
"konfirmatori H1–H5 (tanpa P02, P10)",H4,mu_relative_FCP_left_TURUN,non-penari < penari,9,9,-0.2930977965900282,-0.18498803019381593,Welch satu arah,-0.33044123363319444,0.6264628384657422,-0.14835380132424128,0.6264628384657422
"konfirmatori H1–H5 (tanpa P02, P10)",H5,mu_relative_right_minus_left_TAHAN,penari < non-penari,9,9,-0.04247925624318118,-0.11796792655218792,Welch satu arah,0.13636809155242519,0.5531602341348051,0.061223366523293826,0.6264628384657422
