jenis,fase,area,ukuran,n_penari,n_nonpenari,mean_penari,mean_nonpenari,hedges_g,p,artefak_rawan,p_fdr
perilaku,dur_turun,-,cv,17,11,0.2608530524509604,0.4775371877668459,-1.734844176338095,0.0006187457624033968,False,0.1286991185799065
perilaku,dur_tahan,-,cv,17,11,0.25821474009914214,0.5107585041943593,-1.4352953470890069,0.0013568838043964517,False,0.14111591565723097
EEG,TAHAN,frontotemporal,mu_periodic_db,17,11,0.06000390923331868,1.5135789673568156,-1.1601782695033005,0.0031912266006216983,True,0.15933130824006198
perilaku,dur_tahan,-,median,17,11,3.142852941176473,2.222681818181817,1.2087992190086017,0.003349346339178646,False,0.15933130824006198
EEG,TAHAN,temporo-posterior,mu_periodic_db,17,11,0.3170910779023182,1.81851054270444,-1.1772382398246537,0.0038300795250014903,False,0.15933130824006198
perilaku,dur_naik,-,cv,17,11,0.4196995727889636,0.6690392581851416,-1.0106692543644848,0.01040079070662992,False,0.3605607444965039
EEG,PRA,parietal,beta_periodic_db,17,11,0.5508825569087241,0.08123159246552288,0.9934946545099442,0.012230604536385808,False,0.3634236776526069
EEG,TURUN,frontopolar,exponent_change,17,11,0.14024366046627484,0.4723764830543995,-0.9331074255332756,0.01992434711738992,True,0.4313033018315285
EEG,PRA,frontotemporal,theta_periodic_db,17,11,0.31722448013571336,1.509267040549485,-1.007795074984694,0.020672962546492195,True,0.4313033018315285
EEG,TURUN,sentral,beta_periodic_db,17,11,0.11448149715124535,0.6978622069455283,-0.9996144399916331,0.021914238948403764,False,0.4313033018315285
EEG,TAHAN,frontopolar,mu_periodic_db,17,11,0.30686660906519314,1.3532273013553868,-0.8468251018401651,0.0252628445811012,True,0.4313033018315285
EEG,TAHAN,frontopolar,offset_change,17,11,2.0143533830140905,7.218340348397631,-0.8426797412523813,0.026691681686040122,True,0.4313033018315285
EEG,POST,oksipital,beta_periodic_db,17,11,0.3679640122109089,-0.10787222533959738,0.8429355197550061,0.02817707773690876,False,0.4313033018315285
EEG,TAHAN,oksipital,offset_change,17,11,3.879660151131662,8.757281125725394,-0.865701270434299,0.03171480304593251,False,0.4313033018315285
EEG,TAHAN,frontal,mu_periodic_db,17,11,0.3095527561299091,1.3455363749619675,-0.8256730062377806,0.0327688086990184,False,0.4313033018315285
perilaku,dur_turun,-,median,17,11,1.5840294117647042,1.2962272727272726,0.8848738667042991,0.03317717706396373,False,0.4313033018315285
perilaku,dur_naik,-,median,17,11,1.0183823529411802,1.748318181818188,-0.9615122038197951,0.0386454536195548,False,0.4496366352783517
EEG,TAHAN,frontotemporal,offset_change,17,11,3.679939921017304,8.62743231240665,-0.7955613120286251,0.03983360463180089,True,0.4496366352783517
EEG,POST,temporo-posterior,beta_periodic_db,17,11,0.4825746965739917,0.02265579440244067,0.8265138568763065,0.04249048220960585,False,0.4496366352783517
EEG,TURUN,frontotemporal,exponent_change,17,11,0.07252227141213428,0.32451323630732004,-0.7412792158510411,0.0445452401043775,True,0.4496366352783517
