frame,t,raw,task,subphase
0,0.0,,UNKNOWN,
1,0.065,,UNKNOWN,
2,0.101,"BERSIAP
x
(5)
",BERSIAP,
3,0.14,"BERSIAP
rs
a.

as
",BERSIAP,
7,0.262,"BERSIAP
ie)
",BERSIAP,
15,0.541,"=
BERSIAP
(s)
",BERSIAP,
18,0.638,"=a
BERSIAP
(s)
",BERSIAP,
20,0.708,"=
BERSIAP
(s)
",BERSIAP,
21,0.735,"=
BERSIAP
(s)
",BERSIAP,
22,0.773,"Pa
KP )
",UNKNOWN,
30,1.034,"ae
Ke )
",UNKNOWN,
31,1.068,"ae
Ke )
",UNKNOWN,
32,1.095,"=
BERSIAP
(s)
",BERSIAP,
33,1.13,"=z
BERSIAP
@)
",BERSIAP,
37,1.262,"=z
BERSIAP
@)
",BERSIAP,
45,1.533,"=z
BERSIAP
@)
",BERSIAP,
60,2.034,"=z
BERSIAP
o
",BERSIAP,
75,2.533,"=z
BERSIAP
(3)
",BERSIAP,
89,3.007,"=z
BERSIAP
(3)
",BERSIAP,
104,3.506,"=
BERSIAP
(2)
",BERSIAP,
119,4.007,"=m
BERSIAP
2)
",BERSIAP,
122,4.103,"==
BERSIAP
",BERSIAP,
123,4.144,"BERSIAP
",BERSIAP,
124,4.172,"bes
Naor,
",UNKNOWN,
126,4.242,"BEEP
LY
",UNKNOWN,
134,4.506,"BEEP
LY
",UNKNOWN,
135,4.533,"BERsiP
LY
",BERSIAP,
137,4.602,"BERsiP
LY
",BERSIAP,
141,4.742,"BERsiP
LY
",BERSIAP,
149,5.006,"BERsiP
LY
",BERSIAP,
152,5.102,"BERsiP
LY
",BERSIAP,
153,5.13,"NGEED
~
1
TURUN
",NGEED,TURUN
154,5.172,"NGEED
~
1
TURUN
",NGEED,TURUN
156,5.242,"NGEED
~
1
TURUN
",NGEED,TURUN
164,5.505,"NGEED
~
1
TURUN
",NGEED,TURUN
179,6.006,"NGEED
~
1
TURUN
",NGEED,TURUN
194,6.505,"NGEED
2
TURUN
",NGEED,TURUN
