task,subphase,n,start,end,rep
BERSIAP,,23,0.101,5.116,
NGEED,TURUN,14,5.116,8.1155,1.0
NGEED,TAHAN,9,8.1155,10.115,1.0
NGEED,NAIK,19,10.115,13.115,1.0
BERDIRI RILEKS,,22,13.115,21.148,
NGEED,TURUN,13,21.148,24.155,2.0
NGEED,TAHAN,8,24.155,26.0855,2.0
NGEED,NAIK,21,26.0855,29.154,2.0
BERDIRI RILEKS,,20,29.154,37.149,
AGEM KANAN,TURUN,14,37.149,40.153,1.0
AGEM KANAN,TAHAN,8,40.153,42.1525,1.0
AGEM KANAN,NAIK,19,42.1525,45.283,1.0
BERDIRI RILEKS,,18,45.283,53.1465,
AGEM KANAN,TURUN,15,53.1465,56.1855,2.0
AGEM KANAN,TAHAN,7,56.1855,58.146,2.0
AGEM KANAN,NAIK,20,58.146,61.1635,2.0
BERDIRI RILEKS,,20,61.1635,69.1825,
AGEM KIRI,TURUN,14,69.1825,72.189,1.0
AGEM KIRI,TAHAN,8,72.189,74.1815,1.0
AGEM KIRI,NAIK,18,74.1815,77.1815,1.0
BERDIRI RILEKS,,20,77.1815,85.1875,
AGEM KIRI,TURUN,14,85.1875,88.187,2.0
AGEM KIRI,TAHAN,8,88.187,90.1865,2.0
AGEM KIRI,NAIK,19,90.1865,93.1855,2.0
ISTIRAHAT UTAMA,,364,93.1855,273.21450000000004,
BERSIAP,,1,273.21450000000004,273.228,
BERSIAP,,10,276.131,278.248,
NGEED,TURUN,14,278.248,281.2475,3.0
NGEED,TAHAN,14,281.2475,284.2475,3.0
NGEED,NAIK,11,284.2475,286.2155,3.0
BERDIRI RILEKS,,21,286.2155,294.21799999999996,
NGEED,TURUN,14,294.21799999999996,297.2175,4.0
NGEED,TAHAN,6,297.2175,299.2525,4.0
NGEED,NAIK,19,299.2525,302.28,4.0
BERDIRI RILEKS,,19,302.28,310.278,
AGEM KANAN,TURUN,15,310.278,313.2855,3.0
AGEM KANAN,TAHAN,13,313.2855,316.28499999999997,3.0
AGEM KANAN,NAIK,12,316.28499999999997,318.284,3.0
BERDIRI RILEKS,,21,318.284,326.3175,
AGEM KANAN,TURUN,13,326.3175,329.28200000000004,4.0
AGEM KANAN,TAHAN,9,329.28200000000004,331.318,4.0
AGEM KANAN,NAIK,18,331.318,334.2815,4.0
BERDIRI RILEKS,,21,334.2815,342.31550000000004,
AGEM KIRI,TURUN,14,342.31550000000004,345.31449999999995,3.0
AGEM KIRI,TAHAN,8,345.31449999999995,347.3145,3.0
AGEM KIRI,NAIK,18,347.3145,350.33500000000004,3.0
BERDIRI RILEKS,,20,350.33500000000004,358.32,
AGEM KIRI,TURUN,14,358.32,361.347,4.0
AGEM KIRI,TAHAN,14,361.347,364.346,4.0
AGEM KIRI,NAIK,13,364.346,366.43399999999997,4.0
BERDIRI FOKUS MATA TERBUKA,,61,366.43399999999997,396.515,
BERDIRI ISTIRAHAT,,34,396.515,411.58950000000004,
BERDIRI MATA TERTUTUP,,63,411.58950000000004,441.536,
