task,rep,hud_turun,hud_tahan,hud_naik,hud_end,ocr_protocol_dev,act_turun,act_tahan,act_naik,act_end,depth_px,act_turun_extrap,track_noise_px,pose_valid_frac,compliance,phase_source,act_arm,first_move,baseline_range_frac,baseline_still,fallback_latency_sec,task_hud,rep_hud,reclass,side_feature,kandidat_salah_sisi,tinjauan
NGEED,1,5.116,8.116,10.116,13.116,0.0009999999999994458,8.574,11.24,13.101,13.976,44.41804504394531,8.3935,1.206085205078125,1.0,late,video,5.963,lengan,0.11938930552964791,True,3.2047499999999616,NGEED,1,,52.538116455078125,False,
NGEED,2,21.148,24.148,26.148,29.148,0.0625,23.301,25.107,26.703,28.564,53.891384887695324,23.116749999999996,1.5552978515625,1.0,ok,video,20.231,lengan,0.09000387278443912,True,3.2047499999999616,NGEED,2,,37.22821044921875,False,
AGEM KANAN,1,37.149,40.149,42.149,45.149,0.003999999999997783,39.84,40.84,42.367,42.367,44.41002502441404,39.74275,2.076629638671875,1.0,incomplete,video,39.84,batang_tubuh,0.10381193266180962,True,3.2047499999999616,AGEM KANAN,1,,-16.79095458984375,False,turun_tidak_terdeteksi
AGEM KANAN,2,53.1465,56.1465,58.1465,61.1465,0.03899999999999437,,,,,5.283627319335949,55.26125,2.927581787109375,1.0,incomplete,video,47.506,batang_tubuh,16.61192868640973,False,3.2047499999999616,AGEM KANAN,2,tanpa_turun,,False,turun_tidak_terdeteksi
AGEM KIRI,1,69.1825,72.1825,74.1825,77.1825,0.006499999999988404,72.266,73.668,74.807,78.195,58.219927978515614,72.0995,1.818634033203125,0.9833333333333333,late,video,63.24,lengan,0.635142769710045,False,3.2047499999999616,AGEM KIRI,1,,14.26776123046875,True,sesuai
AGEM KIRI,2,85.1875,88.1875,90.1875,93.1875,0.0010000000000047748,88.929,89.402,89.735,89.735,52.05853271484375,88.929,2.839569091796875,1.0,incomplete,video,79.334,lengan,0.39274580356818345,False,3.2047499999999616,AGEM KIRI,2,,55.99749755859375,False,turun_tidak_terdeteksi
NGEED,3,278.248,281.248,283.248,286.248,0.9995000000000118,281.4527499999999,284.4527499999999,286.4527499999999,289.4527499999999,60.208343505859375,,3.157073974609375,0.9888888888888889,hud_fallback,hud_fallback,281.4527499999999,lengan,0.10572419277745985,True,3.2047499999999616,NGEED,3,,58.78492736816406,False,
NGEED,4,294.218,297.218,299.218,302.218,0.03449999999997999,297.406,298.073,300.002,301.67,79.99652099609375,297.29175,2.980499267578125,0.9832402234636871,late,video,288.663,lengan,1.100400331740501,False,3.2047499999999616,NGEED,4,,2.39910888671875,False,
AGEM KANAN,3,310.278,313.278,315.278,318.278,1.007000000000005,313.737,314.403,316.264,316.264,61.27008056640625,313.72325,2.4909210205078125,0.9611111111111111,incomplete,video,304.402,lengan,0.9440797370919332,False,3.2047499999999616,AGEM KANAN,3,,4.8404998779296875,False,turun_tidak_terdeteksi
AGEM KANAN,4,326.3175,329.3175,331.3175,334.3175,0.035499999999956344,328.803,330.525,332.539,332.539,64.30447387695312,328.553,2.506439208984375,0.9722222222222222,incomplete,video,320.526,lengan,1.4701169221248438,False,3.2047499999999616,AGEM KANAN,4,,-7.429412841796875,False,turun_tidak_terdeteksi
AGEM KIRI,3,342.31550000000004,345.31550000000004,347.31550000000004,350.31550000000004,0.00100000000009004,345.537,347.405,349.8,351.661,79.94065246582034,345.37024999999994,1.99346923828125,1.0,late,video,337.136,lengan,1.7613358573309899,False,3.2047499999999616,AGEM KIRI,3,,68.82559204101562,False,
AGEM KIRI,4,358.32,361.32,363.32,366.32,1.0260000000000105,361.729,363.062,365.673,366.937,70.302734375,361.61075,2.52203369140625,0.9943820224719101,late,video,353.466,lengan,0.12039866648145575,True,3.2047499999999616,AGEM KIRI,4,,59.583709716796875,False,
