participant_id,task,rep,phase,channel,area,hemisphere,t0_video,t1_video,dur_phase_sec,win_sec,compliance,phase_source,flat_frac,valid,salvaged,is_simulated,theta_db,mu_db,beta_db,broad_db
P30,NGEED,1,PRA,Fp1,frontopolar,kiri,0.367,2.367,2.0,2.0,ok,video,0.0,True,False,False,-3.735343579911376,-3.8472345436240616,-6.449349374648902,-4.807347148458625
P30,NGEED,1,PRA,F3,frontal,kiri,0.367,2.367,2.0,2.0,ok,video,1.0,False,False,False,,,,
P30,NGEED,1,PRA,C3,sentral,kiri,0.367,2.367,2.0,2.0,ok,video,1.0,False,False,False,,,,
P30,NGEED,1,PRA,P3,parietal,kiri,0.367,2.367,2.0,2.0,ok,video,1.0,False,False,False,,,,
P30,NGEED,1,PRA,O1,oksipital,kiri,0.367,2.367,2.0,2.0,ok,video,1.0,False,False,False,,,,
P30,NGEED,1,PRA,F7,frontotemporal,kiri,0.367,2.367,2.0,2.0,ok,video,1.0,False,False,False,,,,
P30,NGEED,1,PRA,T3,temporal,kiri,0.367,2.367,2.0,2.0,ok,video,1.0,False,False,False,,,,
P30,NGEED,1,PRA,T5,temporo-posterior,kiri,0.367,2.367,2.0,2.0,ok,video,1.0,False,False,False,,,,
P30,NGEED,1,PRA,Fp2,frontopolar,kanan,0.367,2.367,2.0,2.0,ok,video,0.655,False,False,False,,,,
P30,NGEED,1,PRA,F4,frontal,kanan,0.367,2.367,2.0,2.0,ok,video,0.655,False,False,False,,,,
P30,NGEED,1,PRA,C4,sentral,kanan,0.367,2.367,2.0,2.0,ok,video,0.355,True,True,False,-4.2874394983379,-2.1998288751893504,-5.1182982793368375,-3.2107375353922905
P30,NGEED,1,PRA,P4,parietal,kanan,0.367,2.367,2.0,2.0,ok,video,0.055,True,False,False,-4.18429968450123,-4.321741750300049,-5.8311598299344425,-4.460072269403085
P30,NGEED,1,PRA,O2,oksipital,kanan,0.367,2.367,2.0,2.0,ok,video,0.0,True,False,False,-0.8756378842347985,-1.4554796756995145,-3.2514582579177684,-1.5164351529344664
P30,NGEED,1,PRA,F8,frontotemporal,kanan,0.367,2.367,2.0,2.0,ok,video,0.0,True,False,False,1.065843576951984,-2.439515598334669,-3.144184862842831,-0.9892645743693294
P30,NGEED,1,PRA,T4,temporal,kanan,0.367,2.367,2.0,2.0,ok,video,0.455,True,True,False,-5.7871848692428145,-5.054318067580912,-6.511517938104188,-3.6962639870294822
P30,NGEED,1,PRA,T6,temporo-posterior,kanan,0.367,2.367,2.0,2.0,ok,video,0.255,True,True,False,-4.260789826675975,-2.52468154043812,-5.0440414946404815,-3.209045655435876
P30,NGEED,1,TURUN,Fp1,frontopolar,kiri,8.088,9.38,1.792,1.292,ok,video,0.0,True,False,False,3.628606220340764,4.85281645297885,1.9731758017379768,4.3285464501873285
P30,NGEED,1,TURUN,F3,frontal,kiri,8.088,9.38,1.792,1.292,ok,video,0.0,True,False,False,4.458269291280203,5.853763792895073,0.6566274395054865,-3.118214358464158
P30,NGEED,1,TURUN,C3,sentral,kiri,8.088,9.38,1.792,1.292,ok,video,0.0,True,False,False,5.884291842681343,4.789906399881261,-0.5475625971000557,-0.02170069388417062
P30,NGEED,1,TURUN,P3,parietal,kiri,8.088,9.38,1.792,1.292,ok,video,0.0,True,False,False,0.3396147255179578,0.44420983398803315,-2.4208842920465727,-1.1136506215034068
P30,NGEED,1,TURUN,O1,oksipital,kiri,8.088,9.38,1.792,1.292,ok,video,0.0,True,False,False,-1.102763544458508,1.4811694440727052,-2.498010900843788,-1.3184257012187928
P30,NGEED,1,TURUN,F7,frontotemporal,kiri,8.088,9.38,1.792,1.292,ok,video,0.0,True,False,False,2.7393235334565986,4.919834331623562,3.5629497576617073,0.11195937402937872
P30,NGEED,1,TURUN,T3,temporal,kiri,8.088,9.38,1.792,1.292,ok,video,0.0,True,False,False,5.300784841445708,3.810062760423019,3.816057016594044,0.34913971090166385
