participant_id,kondisi,area,cakupan,n_win,artifact_prone,is_simulated,offset_db,exponent,theta_periodic_db,mu_periodic_db,beta_periodic_db
P07,EO,frontopolar,1.0,6,True,False,34.853292873319745,0.8406012346954893,0.9453624814125133,1.4907564235963915,0.8173484234888457
P07,EO,frontal,1.0,9,False,False,28.65100786573986,1.160448507104446,-1.571244989096843,1.6356650128002315,0.3836517147811165
P07,EO,frontotemporal,1.0,9,True,False,34.69954523906006,0.909973500649536,0.19059260584817383,1.3089151983015772,0.8813285870428876
P07,EO,sentral,1.0,11,False,False,31.459572548959077,1.3121676319923448,1.6018170295979108,0.3574125595420876,0.6704329360240424
P07,EO,temporal,1.0,5,True,False,31.007074806123022,1.0887006315198002,-0.7409985819553927,0.821535785504004,0.11607377293006087
P07,EO,parietal,1.0,18,False,False,29.936175571463156,0.9816987863820658,0.6667350994763882,0.6055031682309349,0.10011260281343874
P07,EO,temporo-posterior,1.0,12,False,False,32.250176051171614,1.2295273791640033,-0.9334373406309199,0.5335161619787201,0.4979371070297744
P07,EO,oksipital,1.0,11,False,False,31.927442460996215,1.1088989115908425,-0.6317386331518571,-0.646204286497037,0.1472635559542725
P07,EC,frontopolar,0.915,5,True,False,39.86529155341891,1.154660944201119,1.3197919640311429,0.5485985629576571,0.7901767624582205
P07,EC,frontal,0.915,3,False,False,28.970537310101918,1.1592807557020512,-1.901895938270679,-0.7546204144199877,0.36919302212648597
P07,EC,frontotemporal,0.915,6,True,False,40.52062946997385,1.4215456458080733,1.1702225985549686,0.013058092365351381,0.9692593261443698
P07,EC,sentral,0.915,4,False,False,27.158935907434156,0.9262448065147261,1.8038826564660948,-0.0885964716382901,0.3737863073801009
P07,EC,temporal,0.915,0,True,False,,,,,
P07,EC,parietal,0.915,14,False,False,25.379021492789295,0.6691048340671284,1.3034034885989285,0.2082468101839441,-0.0032837843861210914
P07,EC,temporo-posterior,0.915,8,False,False,34.11826651451034,1.5173074611627941,0.6182612595922632,-0.6030477759941033,0.8839718901912085
P07,EC,oksipital,0.915,4,False,False,31.984316802984676,1.1293469354340337,-0.6302788653008079,-0.1420971388810599,1.33981952930085
