jenis,fase,area,ukuran,n_penari,n_nonpenari,mean_penari,mean_nonpenari,hedges_g,p,artefak_rawan,p_fdr
perilaku,dur_tahan,-,median,23,15,2.937043478260868,1.9914333333333294,1.258044194801673,0.00027131993925666974,False,0.056434547365387305
perilaku,dur_turun,-,median,23,15,1.593239130434787,1.2320333333333364,1.052017681667294,0.004018466693797958,False,0.3526847763317713
EEG,TAHAN,frontotemporal,mu_periodic_db,23,15,0.10342550990396138,1.2258085628661612,-0.979212683342624,0.00568619775750579,True,0.3526847763317713
EEG,TAHAN,frontotemporal,theta_periodic_db,23,15,-0.27724761398910003,0.6920556744529074,-0.9700753393674736,0.007641610098190185,True,0.3526847763317713
perilaku,dur_tahan,-,cv,23,15,0.32488757535886525,0.47811204064879165,-0.8822290758521256,0.01059329982635551,False,0.3526847763317713
EEG,TAHAN,temporo-posterior,theta_periodic_db,23,15,-0.015268077528150929,0.8517101590795202,-0.8653740909941678,0.011088524010745438,False,0.3526847763317713
EEG,PRA,temporo-posterior,theta_periodic_db,23,15,0.6005564227759319,1.5293901585799428,-0.8261012055478859,0.011977169606820293,False,0.3526847763317713
EEG,TAHAN,temporo-posterior,mu_periodic_db,23,15,0.45658288276864983,1.57121384779402,-0.8151845470809398,0.014875336235464935,False,0.3526847763317713
perilaku,dur_turun,-,cv,23,15,0.3150906929045002,0.49853787959283546,-0.9180053547241892,0.015426243905823863,False,0.3526847763317713
EEG,TURUN,sentral,beta_periodic_db,23,15,0.06316836440304291,0.5107383368419424,-0.8605818397122097,0.01695599886210439,False,0.3526847763317713
EEG,TURUN,sentral,exponent_change,23,15,0.08725704220321366,0.34291955663572266,-0.6651268540461996,0.04721679881017068,False,0.6876506890246256
EEG,TURUN,frontotemporal,mu_periodic_db,23,15,0.5524807993681129,1.328357660827023,-0.6446100249751305,0.05641017771658807,True,0.6876506890246256
EEG,PRA,parietal,beta_periodic_db,23,15,0.46292451865522605,0.19242249455963517,0.5706700406583104,0.07269686892951775,False,0.6876506890246256
EEG,NAIK,frontopolar,offset_change,23,15,9.162143530288272,5.001742409064708,0.5876413659957722,0.0734524139581577,True,0.6876506890246256
EEG,POST,frontotemporal,theta_periodic_db,23,15,0.8572522886062756,1.5610433065044511,-0.552562822708305,0.10103599717218394,True,0.6876506890246256
EEG,TAHAN,parietal,offset_change,23,15,4.197834810837921,7.213578187004733,-0.5448882905968327,0.10347104455977547,False,0.6876506890246256
EEG,TAHAN,parietal,theta_periodic_db,23,15,0.09390545350551685,0.6530923914522819,-0.5514277609978878,0.10507472276689211,False,0.6876506890246256
EEG,TURUN,temporal,theta_periodic_db,23,15,0.5619131501767712,1.252750296307948,-0.5480181962806906,0.10721518456721982,True,0.6876506890246256
EEG,TAHAN,sentral,offset_change,23,15,3.099019391609575,6.440515236605522,-0.5457750277663995,0.10926577628087576,False,0.6876506890246256
EEG,PRA,frontotemporal,theta_periodic_db,23,15,0.4471088633774054,1.1035260226059114,-0.522536374171853,0.11210205171859348,True,0.6876506890246256
EEG,TURUN,sentral,theta_periodic_db,23,15,0.5048428595520814,1.236272277009402,-0.5244330691870054,0.11406027026021993,False,0.6876506890246256
EEG,PRA,frontopolar,beta_periodic_db,23,15,0.5219702265655016,0.2703495656033426,0.49337586185914456,0.11547528152493391,True,0.6876506890246256
EEG,TAHAN,frontotemporal,offset_change,23,15,3.7786695647841495,6.940757850439994,-0.5207461175616279,0.11808717566129252,True,0.6876506890246256
EEG,POST,temporo-posterior,exponent_change,23,15,0.2086170169392796,0.3758950033464535,-0.4924992174811837,0.12795696877439722,False,0.6876506890246256
EEG,TAHAN,sentral,theta_periodic_db,23,15,0.01625385773604513,0.5263195595951659,-0.5055008310192358,0.1304709742823817,False,0.6876506890246256
EEG,PRA,frontotemporal,mu_periodic_db,23,15,0.4449177127502147,1.0532095358632827,-0.5122655126268297,0.1309157313592748,True,0.6876506890246256
EEG,TURUN,sentral,offset_change,23,15,7.82588899055602,11.362166095067595,-0.5013708883099997,0.13092892774274428,False,0.6876506890246256
EEG,TAHAN,sentral,exponent_change,23,15,0.062084013730832596,0.2536966213392294,-0.5109264266713164,0.13753576274643478,False,0.6876506890246256
EEG,TAHAN,parietal,exponent_change,23,15,0.16521524146805897,0.30469246578942055,-0.4937322557697325,0.13769263132786047,False,0.6876506890246256
perilaku,dur_naik,-,cv,23,15,0.5294894637032244,0.659463557411452,-0.4786580729479007,0.13840238194239948,False,0.6876506890246256
perilaku,dur_naik,-,median,23,15,1.2428260869565204,1.8099000000000052,-0.5325993123864544,0.13853070819820437,False,0.6876506890246256
EEG,TURUN,oksipital,exponent_change,23,15,0.257676782185905,0.4247072467139591,-0.4877341590758126,0.14583721178799453,False,0.6876506890246256
EEG,TAHAN,frontal,mu_periodic_db,23,15,0.60605862804005,1.2946699212972759,-0.47625525128450996,0.1527345051188307,False,0.6876506890246256
EEG,TAHAN,frontotemporal,beta_periodic_db,23,15,0.37489180822101575,0.09298811592081248,0.48033527802051473,0.1543469050915993,True,0.6876506890246256
EEG,PRA,frontal,beta_periodic_db,23,15,0.41142322811198,0.10367804294884894,0.4689795362082195,0.15901427539394264,False,0.6876506890246256
EEG,TURUN,parietal,exponent_change,23,15,0.17303471039961854,0.33105513245395307,-0.4465579060434998,0.15975149648768752,False,0.6876506890246256
EEG,TAHAN,frontal,theta_periodic_db,23,15,0.009357714846391377,0.5752845420460674,-0.47129299016709275,0.16080269158279525,False,0.6876506890246256
EEG,NAIK,oksipital,mu_periodic_db,23,15,0.7604618960444055,1.7091526476052745,-0.4843870387108949,0.16217438524957792,False,0.6876506890246256
EEG,PRA,parietal,exponent_change,23,15,0.21875100782799212,0.3506292825498509,-0.4695490226513946,0.16261091173561362,False,0.6876506890246256
EEG,TURUN,oksipital,offset_change,23,15,9.689500275478734,12.546150246344686,-0.47324152670125774,0.16729898515120858,False,0.6876506890246256
EEG,PRA,oksipital,mu_periodic_db,23,15,0.5633634636840165,1.206180378163105,-0.44749199513120397,0.16905218744701903,False,0.6876506890246256
EEG,TURUN,frontotemporal,theta_periodic_db,23,15,0.2494545928466289,0.7806932438739003,-0.4356554727745711,0.16997252516520767,True,0.6876506890246256
