participant_id,task,rep,compliance,phase_source,dur_turun,dur_tahan,dur_naik,latency_hud,arm_lead,depth_px,is_simulated
P38,NGEED,1,short_hold,video,0.7359999999999989,0.5970000000000013,1.9309999999999992,3.715,6.792,23.0522430419922,False
P38,NGEED,2,ok,video,2.7920000000000016,1.4720000000000013,0.3329999999999984,1.5549999999999997,6.8039999999999985,24.74995117187501,False
P38,AGEM KANAN,1,incomplete,video,,,,,,0.8055419921875,False
P38,AGEM KANAN,2,ok,video,3.137999999999998,1.598000000000006,0.5269999999999939,2.1524999999999963,8.067999999999998,18.564910888671875,False
P38,AGEM KIRI,1,short_hold,video,1.3459999999999894,0.26400000000001,5.595999999999989,2.382000000000005,8.263000000000005,21.7269287109375,False
P38,AGEM KIRI,2,ok,video,1.0,3.055000000000007,0.9439999999999884,1.6869999999999976,0.0,41.180938720703125,False
P38,NGEED,3,incomplete,video,,,,,,9.565499877929653,False
P38,NGEED,4,short_hold,video,1.0,0.52800000000002,2.930000000000007,3.318499999999972,0.0,35.2879638671875,False
P38,AGEM KANAN,3,late,video,0.9989999999999668,2.742999999999995,0.86099999999999,4.111000000000047,0.0,30.542779541015648,False
P38,AGEM KANAN,4,ok,video,2.930000000000007,1.73599999999999,1.5970000000000368,2.151999999999987,0.0,26.605194091796875,False
P38,AGEM KIRI,3,late,video,2.73599999999999,1.79200000000003,0.5409999999999968,3.151999999999987,0.0,18.34039306640625,False
P38,AGEM KIRI,4,ok,video,1.06899999999996,1.8050000000000068,2.0,2.041499999999985,2.26400000000001,26.512420654296875,False
