participant_id,kondisi,area,cakupan,n_win,artifact_prone,is_simulated,offset_db,exponent,theta_periodic_db,mu_periodic_db,beta_periodic_db
P23,EO,frontopolar,1.0,25,True,False,40.73558543118374,1.4385418959281426,0.7081872963619013,0.4005939832773491,0.5397707974722503
P23,EO,frontal,1.0,6,False,False,45.07713137304268,1.9346451821682684,1.9108272822382837,2.3755031905355817,0.3691364285960711
P23,EO,frontotemporal,1.0,24,True,False,43.04590005400537,1.5520905843187902,1.2707577303529565,1.3312218246784826,0.27531391621512236
P23,EO,sentral,1.0,14,False,False,44.25236543818098,1.8481214547179448,1.6274983952100204,0.35538311198815364,0.6795488059848176
P23,EO,temporal,1.0,13,True,False,45.91950688929916,1.85744559684084,1.1427843849100872,1.9098973725610122,0.7307827962498585
P23,EO,parietal,1.0,7,False,False,45.50074900024811,2.0455364203696327,1.2785136492502402,1.1336465179434927,1.3272999669512544
P23,EO,temporo-posterior,1.0,3,False,False,48.24346224825817,2.1779491141417266,2.0077981031893275,1.3821238612119715,1.335212929009997
P23,EO,oksipital,1.0,9,False,False,45.36977536417703,2.033338141193217,1.588139465572365,2.1424850605171355,1.084594762344386
P23,EC,frontopolar,1.0,24,True,False,39.383189550581086,1.391448649356586,0.8960825695024649,0.29413690009637605,0.6898212459501751
P23,EC,frontal,1.0,8,False,False,43.3296829601382,1.8495087133815369,1.1343284701980316,0.266737324927532,0.8794545798369929
P23,EC,frontotemporal,1.0,22,True,False,41.007815444002595,1.5168846966186886,1.5490490795900995,0.1875271854000231,0.530267112801101
P23,EC,sentral,1.0,12,False,False,41.46664470534519,1.6543998912171956,1.653777989129868,0.6635792024728833,0.5231964633998566
P23,EC,temporal,1.0,7,True,False,40.53533085298071,1.590998865275016,1.065541370470728,0.6525213113831181,0.7220943340103393
P23,EC,parietal,1.0,9,False,False,41.66124386699509,1.7842538429050152,1.9601348647363948,0.8027306131695728,0.5027095279021057
P23,EC,temporo-posterior,1.0,4,False,False,42.38258917465804,1.6282304748503242,0.837207917074545,0.35127820368594964,0.03384042911849644
P23,EC,oksipital,1.0,10,False,False,43.009910071789804,1.8305999891900813,0.629358805594728,0.518040665014813,0.5898382903077168
