participant_id,task,rep,phase,channel,area,hemisphere,t0_video,t1_video,dur_phase_sec,win_sec,compliance,phase_source,flat_frac,valid,salvaged,is_simulated,theta_db,mu_db,beta_db,broad_db
P13,NGEED,1,PRA,Fp1,frontopolar,kiri,4.61,6.61,2.0,2.0,ok,video,0.88,False,False,False,,,,
P13,NGEED,1,PRA,F3,frontal,kiri,4.61,6.61,2.0,2.0,ok,video,0.18,True,True,False,-7.420026960262341,-7.195915400099157,-7.390332695293739,-7.125128504365165
P13,NGEED,1,PRA,C3,sentral,kiri,4.61,6.61,2.0,2.0,ok,video,0.18,True,True,False,-10.620555724170519,-7.137119641478403,-6.766691770066,-4.079195501105509
P13,NGEED,1,PRA,P3,parietal,kiri,4.61,6.61,2.0,2.0,ok,video,0.0,True,False,False,-6.020130807221669,-0.861965366463199,-2.387533099963669,-2.6199963380111875
P13,NGEED,1,PRA,O1,oksipital,kiri,4.61,6.61,2.0,2.0,ok,video,0.68,False,False,False,,,,
P13,NGEED,1,PRA,F7,frontotemporal,kiri,4.61,6.61,2.0,2.0,ok,video,0.92,False,False,False,,,,
P13,NGEED,1,PRA,T3,temporal,kiri,4.61,6.61,2.0,2.0,ok,video,0.08,True,False,False,-5.58139291183635,-2.156346972551958,-1.7301941633600926,-4.166797376150491
P13,NGEED,1,PRA,T5,temporo-posterior,kiri,4.61,6.61,2.0,2.0,ok,video,0.08,True,False,False,-1.68497273761567,-2.3944021306312564,-1.0333502333454696,-1.963295733519498
P13,NGEED,1,PRA,Fp2,frontopolar,kanan,4.61,6.61,2.0,2.0,ok,video,1.0,False,False,False,,,,
P13,NGEED,1,PRA,F4,frontal,kanan,4.61,6.61,2.0,2.0,ok,video,0.72,False,False,False,,,,
P13,NGEED,1,PRA,C4,sentral,kanan,4.61,6.61,2.0,2.0,ok,video,0.0,True,False,False,-8.873939012958346,-3.149390078897838,-1.2196794505436586,-7.477191137922198
P13,NGEED,1,PRA,P4,parietal,kanan,4.61,6.61,2.0,2.0,ok,video,0.0,True,False,False,-6.087116567604895,-3.070571110070251,0.36896481965937156,-6.061522825252144
P13,NGEED,1,PRA,O2,oksipital,kanan,4.61,6.61,2.0,2.0,ok,video,0.28,True,True,False,-13.550552284682851,-10.870126700127642,-6.124986481797798,-9.795158077085574
P13,NGEED,1,PRA,F8,frontotemporal,kanan,4.61,6.61,2.0,2.0,ok,video,1.0,False,False,False,,,,
P13,NGEED,1,PRA,T4,temporal,kanan,4.61,6.61,2.0,2.0,ok,video,0.0,True,False,False,-6.8617038922137965,-0.4564206865791647,2.602788152312403,-5.219304302177413
P13,NGEED,1,PRA,T6,temporo-posterior,kanan,4.61,6.61,2.0,2.0,ok,video,0.98,False,False,False,,,,
P13,NGEED,1,TURUN,Fp1,frontopolar,kiri,7.561,8.31,1.069,0.748,ok,video,1.0,False,False,False,,,,
P13,NGEED,1,TURUN,F3,frontal,kiri,7.561,8.31,1.069,0.748,ok,video,1.0,False,False,False,,,,
P13,NGEED,1,TURUN,C3,sentral,kiri,7.561,8.31,1.069,0.748,ok,video,1.0,False,False,False,,,,
P13,NGEED,1,TURUN,P3,parietal,kiri,7.561,8.31,1.069,0.748,ok,video,1.0,False,False,False,,,,
P13,NGEED,1,TURUN,O1,oksipital,kiri,7.561,8.31,1.069,0.748,ok,video,1.0,False,False,False,,,,
P13,NGEED,1,TURUN,F7,frontotemporal,kiri,7.561,8.31,1.069,0.748,ok,video,0.0,True,False,False,-8.318872497547588,-7.609668118876172,-7.26930759478001,-6.380278571990097
P13,NGEED,1,TURUN,T3,temporal,kiri,7.561,8.31,1.069,0.748,ok,video,1.0,False,False,False,,,,
P13,NGEED,1,TURUN,T5,temporo-posterior,kiri,7.561,8.31,1.069,0.748,ok,video,1.0,False,False,False,,,,
P13,NGEED,1,TURUN,Fp2,frontopolar,kanan,7.561,8.31,1.069,0.748,ok,video,0.0,True,False,False,-3.7922058537488184,-3.9032089482211063,0.027474034064795205,-5.649913850256983
P13,NGEED,1,TURUN,F4,frontal,kanan,7.561,8.31,1.069,0.748,ok,video,0.0,True,False,False,2.011319560396437,2.4801902361307313,5.561806616587294,1.0199474171108065
P13,NGEED,1,TURUN,C4,sentral,kanan,7.561,8.31,1.069,0.748,ok,video,0.0,True,False,False,-7.298702032116271,-6.546908757207881,-6.206258472742778,-7.842911115002529
P13,NGEED,1,TURUN,P4,parietal,kanan,7.561,8.31,1.069,0.748,ok,video,0.0,True,False,False,1.3449530740734446,2.8701252643999666,3.692807956716134,-0.24881655996075835
P13,NGEED,1,TURUN,O2,oksipital,kanan,7.561,8.31,1.069,0.748,ok,video,1.0,False,False,False,,,,
P13,NGEED,1,TURUN,F8,frontotemporal,kanan,7.561,8.31,1.069,0.748,ok,video,0.0,True,False,False,-5.752176938905187,-10.19015264046643,-5.674194564458379,-7.805868608041848
P13,NGEED,1,TURUN,T4,temporal,kanan,7.561,8.31,1.069,0.748,ok,video,0.0,True,False,False,-7.693777914445988,-3.4343256212689433,-4.488391065382846,-5.783895026256076
