participant_id,task,rep,compliance,phase_source,dur_turun,dur_tahan,dur_naik,latency_hud,arm_lead,depth_px,is_simulated
P20,NGEED,1,late,video,1.9299999999999997,4.195,0.527000000000001,3.5404999999999998,1.5409999999999995,59.737335205078125,False
P20,NGEED,2,ok,video,1.0,2.0,4.999000000000002,1.6174999999999997,6.733999999999998,69.65165710449219,False
P20,AGEM KANAN,1,ok,video,3.0,4.207999999999998,0.4579999999999984,2.145000000000003,8.068000000000001,59.771441650390614,False
P20,AGEM KANAN,2,ok,video,1.7370000000000019,5.332000000000001,0.7349999999999994,2.1454999999999984,8.053999999999995,59.4178466796875,False
P20,AGEM KIRI,1,ok,video,0.9299999999999926,2.263999999999996,4.402000000000001,2.125000000000014,0.0,50.36735839843749,False
P20,AGEM KIRI,2,ok,video,0.6670000000000016,2.2630000000000052,4.804999999999993,1.9784999999999968,0.0,43.1468505859375,False
P20,NGEED,3,ok,video,0.9309999999999832,6.069000000000017,0.8050000000000068,1.6940000000000168,5.927999999999997,77.00006103515625,False
P20,NGEED,4,ok,video,1.125,5.999000000000024,0.9440000000000168,1.2909999999999968,7.206999999999994,79.34211120605471,False
P20,AGEM KANAN,3,ok,video,0.8600000000000136,6.06899999999996,1.2080000000000268,1.5550000000000068,0.0,49.56298828125,False
P20,AGEM KANAN,4,ok,video,1.4729999999999563,2.5270000000000437,4.471000000000004,1.5135000000000218,0.0,54.59796142578125,False
P20,AGEM KIRI,3,ok,video,0.73599999999999,2.2630000000000337,4.73599999999999,1.98599999999999,3.401999999999987,48.01628723144529,False
P20,AGEM KIRI,4,ok,video,1.13900000000001,3.5960000000000036,3.638999999999953,1.54849999999999,0.0,42.66400146484375,False
