task,subphase,n,start,end,rep
BERSIAP,,11,1.15,5.089,
NGEED,TURUN,15,5.089,8.193999999999999,1.0
NGEED,TAHAN,8,8.193999999999999,10.091999999999999,1.0
NGEED,NAIK,20,10.091999999999999,13.085999999999999,1.0
BERDIRI RILEKS,,19,13.085999999999999,21.119,
NGEED,TURUN,15,21.119,24.1535,2.0
NGEED,TAHAN,8,24.1535,26.083,2.0
NGEED,NAIK,20,26.083,29.152,2.0
BERDIRI RILEKS,,20,29.152,37.1515,
AGEM KANAN,TURUN,14,37.1515,40.150999999999996,1.0
AGEM KANAN,TAHAN,8,40.150999999999996,42.1505,1.0
AGEM KANAN,NAIK,19,42.1505,45.15,1.0
BERDIRI RILEKS,,19,45.15,53.121,
AGEM KANAN,TURUN,15,53.121,56.156000000000006,2.0
AGEM KANAN,TAHAN,7,56.156000000000006,58.12,2.0
AGEM KANAN,NAIK,20,58.12,61.1545,2.0
BERDIRI RILEKS,,20,61.1545,69.15350000000001,
AGEM KIRI,TURUN,14,69.15350000000001,72.187,1.0
AGEM KIRI,TAHAN,14,72.187,75.187,1.0
AGEM KIRI,NAIK,12,75.187,77.201,1.0
BERDIRI RILEKS,,20,77.201,85.186,
AGEM KIRI,TURUN,14,85.186,88.185,2.0
AGEM KIRI,TAHAN,8,88.185,90.185,2.0
AGEM KIRI,NAIK,19,90.185,93.184,2.0
ISTIRAHAT UTAMA,,364,93.184,273.234,
BERSIAP,,15,273.234,278.2185,
NGEED,TURUN,14,278.2185,281.2185,3.0
NGEED,TAHAN,8,281.2185,283.2185,3.0
NGEED,NAIK,21,283.2185,286.183,3.0
BERDIRI RILEKS,,20,286.183,294.182,
NGEED,TURUN,15,294.182,297.251,4.0
NGEED,TAHAN,14,297.251,300.251,4.0
NGEED,NAIK,12,300.251,302.2505,4.0
BERDIRI RILEKS,,20,302.2505,310.252,
AGEM KANAN,TURUN,12,310.252,313.2555,3.0
AGEM KANAN,TAHAN,16,313.2555,316.25149999999996,3.0
AGEM KANAN,NAIK,10,316.25149999999996,318.291,3.0
BERDIRI RILEKS,,20,318.291,326.2825,
AGEM KANAN,TURUN,13,326.2825,329.253,4.0
AGEM KANAN,TAHAN,14,329.253,332.2525,4.0
AGEM KANAN,NAIK,12,332.2525,334.252,4.0
BERDIRI RILEKS,,21,334.252,342.3135,
AGEM KIRI,TURUN,14,342.3135,345.3135,3.0
AGEM KIRI,TAHAN,8,345.3135,347.28499999999997,3.0
AGEM KIRI,NAIK,18,347.28499999999997,350.2845,3.0
BERDIRI RILEKS,,21,350.2845,358.346,
AGEM KIRI,TURUN,14,358.346,361.352,4.0
AGEM KIRI,TAHAN,14,361.352,364.345,4.0
AGEM KIRI,NAIK,14,364.345,366.42449999999997,4.0
BERDIRI FOKUS MATA TERBUKA,,63,366.42449999999997,396.4515,
BERDIRI ISTIRAHAT,,32,396.4515,411.51800000000003,
BERDIRI MATA TERTUTUP,,62,411.51800000000003,441.001,
